scenario,year,total_production_Mt,ets_cost_USD,estimated_capex_USD,estimated_opex_USD,total_estimated_annual_cost_USD,ets_cost_share_pct
NGFS_NetZero2050,2025,40.0,301500000.00000054,20000000000.0,12000000000.0,32301500000.0,0.9333931860749517
NGFS_NetZero2050,2026,39.8,707700000.0,19900000000.0,11940000000.0,32547700000.0,2.1743471888950676
NGFS_NetZero2050,2027,39.601,1277289000.0,19800500000.0,11880300000.0,32958089000.0,3.8754947230101844
NGFS_NetZero2050,2028,39.402995,50191845.00000022,19701497499.999996,11820898500.0,31572587844.999996,0.15897285723428234
NGFS_NetZero2050,2029,39.205980025,204432546.8250013,19602990012.500004,11761794007.5,31569216566.825005,0.6475692749367508
NGFS_NetZero2050,2030,39.009950124875004,0.0,19504975062.4375,11702985037.462502,31207960099.9,0.0
NGFS_NetZero2050,2031,38.8149003742506,133862979.6778428,19407450187.125298,11644470112.275179,31185783279.078316,0.42924360270164447
NGFS_NetZero2050,2032,38.6208258723794,0.0,19310412936.1897,11586247761.71382,30896660697.90352,0.0
NGFS_NetZero2050,2033,38.4277217430175,5502053.765655427,19213860871.50875,11528316522.90525,30747679448.179657,0.017894208162694904
NGFS_NetZero2050,2034,38.2355831343024,236192162.2273542,19117791567.151203,11470674940.29072,30824658669.66928,0.7662442097364134
NGFS_NetZero2050,2035,38.0444052186309,0.0,19022202609.31545,11413321565.58927,30435524174.904716,0.0
NGFS_NetZero2050,2036,37.854183192537704,84908329.03901112,18927091596.268852,11356254957.761312,30368254883.069176,0.2795956809699624
NGFS_NetZero2050,2037,37.6649122765751,0.0,18832456138.28755,11299473682.97253,30131929821.260082,0.0
NGFS_NetZero2050,2038,37.4765877151922,0.0,18738293857.5961,11242976314.557661,29981270172.153763,0.0
NGFS_NetZero2050,2039,37.2892047766162,198739058.80479854,18644602388.3081,11186761432.98486,30030102880.09776,0.6617994603558667
NGFS_NetZero2050,2040,37.102758752733095,0.0,18551379376.36655,11130827625.81993,29682207002.186478,0.0
