year,production_BF-BOF_Mt,production_BF-BOF+CCUS_Mt,production_FINEX-BOF_Mt,production_Scrap-EAF_Mt,production_NG-DRI-EAF_Mt,production_H2-DRI-EAF_Mt,production_HyREX_Mt,total_production_Mt,scope1_emissions_MtCO2,carbon_price_USD_per_tCO2,free_allocation_MtCO2,ets_cost_USD,ets_cost_calculated_USD,ets_positive_MtCO2
2025,39.6,0.0,0.0,0.399999999999999,0.0,0.0,0.0,40.0,83.34,15,75.0,125100000.00000015,125100000.00000006,8.340000000000003
2026,39.6,0.0,6.21724893790085e-17,0.199999999999996,0.0,0.0,0.0,39.8,83.25000000000001,20,70.5,255000000.0,255000000.0000003,12.750000000000014
2027,37.801,0.0,6.21724893790085e-17,1.8,0.0,0.0,0.0,39.601,80.19210000000001,25,66.0,354802500.0,354802500.0000003,14.19210000000001
2028,37.602995,0.0,6.21724893790085e-17,1.8,0.0,0.0,0.0,39.402995,79.7762895,30,61.49999999999999,548288685.0,548288685.0000004,18.27628950000001
2029,37.405980025,0.0,6.21724893790085e-17,1.8,0.0,0.0,0.0,39.205980024999995,79.3625580525,35,57.0,782689531.8375,782689531.8375002,22.362558052500006
2030,37.209950124875,0.0,6.21724893790085e-17,1.8,0.0,0.0,0.0,39.009950124875,78.95089526223751,40,52.5,1058035810.4894998,1058035810.4895003,26.45089526223751
2031,37.0149003742506,0.0,6.21724893790085e-17,1.8,0.0,0.0,0.0,38.8149003742506,78.54129078592626,43,51.00000000000001,1184275503.794831,1184275503.7948291,27.541290785926257
2032,36.8208258723794,0.0,6.21724893790085e-17,1.8,0.0,0.0,0.0,38.6208258723794,78.13373433199675,46,49.5,1317151779.2718482,1317151779.2718506,28.63373433199675
2033,36.6277217430175,0.0,6.21724893790085e-17,1.8,0.0,0.0,0.0,38.4277217430175,77.72821566033676,49,48.0,1456682567.3564985,1456682567.356501,29.728215660336758
2034,36.4355831343024,0.0,6.21724893790085e-17,1.8,0.0,0.0,0.0,38.235583134302395,77.32472458203505,52,46.5,1602885678.26582,1602885678.2658224,30.824724582035046
2035,36.2444052186309,0.0,6.21724893790085e-17,1.8,0.0,0.0,0.0,38.0444052186309,76.9232509591249,55,45.0,1755778802.751864,1755778802.7518694,31.9232509591249
2036,36.0541831925377,0.0,6.21724893790085e-17,1.8,0.0,0.0,0.0,37.8541831925377,76.52378470432917,58,43.5,1915379512.8510938,1915379512.851092,33.023784704329174
2037,35.864912276575,0.0,6.21724893790085e-17,1.8,0.0,0.0,0.0,37.664912276574995,76.1263157808075,61,42.00000000000001,2081705262.6292636,2081705262.6292572,34.126315780807495
2038,35.6765877151922,0.0,6.21724893790085e-17,1.8,0.0,0.0,0.0,37.476587715192196,75.73083420190362,64,40.5,2254773388.921824,2254773388.9218316,35.23083420190362
2039,35.4892047766162,0.0,0.0,1.8,0.0,0.0,0.0,37.289204776616195,75.33733003089402,67,39.0,2434601112.069898,2434601112.0698996,36.33733003089402
2040,35.3027587527331,0.0,0.0,1.8,0.0,0.0,0.0,37.102758752733095,74.94579338073952,70,37.5,2621205536.651772,2621205536.6517663,37.44579338073952
2041,35.1172449589695,0.0,0.0,1.8,0.0,0.0,0.0,36.9172449589695,74.55621441383596,73,36.0,2814603652.210021,2814603652.210025,38.55621441383596
2042,34.9326587341746,0.0,0.0,1.8,0.0,0.0,0.0,36.7326587341746,74.16858334176666,76,34.5,3014812333.9742694,3014812333.9742665,39.66858334176666
2043,34.7489954405037,0.0,0.0,1.8,0.0,0.0,0.0,36.548995440503695,73.78289042505777,79,33.0,3221848343.579566,3221848343.5795636,40.78289042505777
2044,34.5662504633012,0.0,0.0,1.8,0.0,0.0,0.0,36.3662504633012,73.39912597293252,82,31.5,3435728329.780473,3435728329.780467,41.899125972932524
2045,34.3844192109847,0.0,0.0,1.8,0.0,0.0,0.0,36.1844192109847,73.01728034306788,85,30.0,3656468829.1607714,3656468829.1607704,43.01728034306788
2046,34.2034971149298,0.0,0.0,1.8,0.0,0.0,0.0,36.0034971149298,72.6373439413526,88,28.5,3884086266.8390193,3884086266.839029,44.1373439413526
2047,34.0234796293551,0.0,0.0,1.8,0.0,0.0,0.0,35.8234796293551,72.25930722164571,91,27.0,4118596957.1697674,4118596957.1697598,45.25930722164571
2048,33.8443622312084,0.0,0.0,1.8,0.0,0.0,0.0,35.6443622312084,71.88316068553765,94,25.500000000000004,4360017104.440524,4360017104.440538,46.383160685537646
2049,33.6661404200523,0.0,0.0,1.8,0.0,0.0,0.0,35.4661404200523,71.50889488210984,97,24.0,4608362803.564661,4608362803.564654,47.50889488210984
2050,33.4888097179521,0.0,0.0,1.8,0.0,0.0,0.0,35.2888097179521,71.13650040769942,100,22.5,4863650040.76993,4863650040.769941,48.636500407699415
