scenario,year,price_USD_per_tCO2
NGFS_NetZero2050,2025,50
NGFS_NetZero2050,2026,70
NGFS_NetZero2050,2027,90
NGFS_NetZero2050,2028,110
NGFS_NetZero2050,2029,130
NGFS_NetZero2050,2030,150
NGFS_NetZero2050,2035,225
NGFS_NetZero2050,2040,300
NGFS_NetZero2050,2045,375
NGFS_NetZero2050,2050,450
NGFS_Below2C,2025,30
NGFS_Below2C,2026,40
NGFS_Below2C,2027,50
NGFS_Below2C,2028,60
NGFS_Below2C,2029,70
NGFS_Below2C,2030,80
NGFS_Below2C,2035,120
NGFS_Below2C,2040,160
NGFS_Below2C,2045,200
NGFS_Below2C,2050,240
NGFS_NDCs,2025,15
NGFS_NDCs,2026,20
NGFS_NDCs,2027,25
NGFS_NDCs,2028,30
NGFS_NDCs,2029,35
NGFS_NDCs,2030,40
NGFS_NDCs,2035,55
NGFS_NDCs,2040,70
NGFS_NDCs,2045,85
NGFS_NDCs,2050,100
