scenario,year,price_USD_per_tCO2
NGFS_NetZero2050,2025,0
NGFS_NetZero2050,2026,96
NGFS_NetZero2050,2027,191
NGFS_NetZero2050,2028,287
NGFS_NetZero2050,2029,335
NGFS_NetZero2050,2030,383
NGFS_NetZero2050,2035,382
NGFS_NetZero2050,2040,455
NGFS_NetZero2050,2045,536
NGFS_NetZero2050,2050,638
NGFS_Below2C,2025,0
NGFS_Below2C,2026,18
NGFS_Below2C,2027,35
NGFS_Below2C,2028,53
NGFS_Below2C,2029,62
NGFS_Below2C,2030,71
NGFS_Below2C,2035,77
NGFS_Below2C,2040,98
NGFS_Below2C,2045,126
NGFS_Below2C,2050,166
NGFS_NDCs,2025,0
NGFS_NDCs,2026,30
NGFS_NDCs,2027,59
NGFS_NDCs,2028,89
NGFS_NDCs,2029,103
NGFS_NDCs,2030,118
NGFS_NDCs,2035,121
NGFS_NDCs,2040,124
NGFS_NDCs,2045,127
NGFS_NDCs,2050,130
