scenario,year,total_production_Mt,ets_cost_USD,estimated_capex_USD,estimated_opex_USD,total_estimated_annual_cost_USD,ets_cost_share_pct
NGFS_NetZero2050,2025,40.0,301500000.00000036,20000000000.0,12000000000.0,32301500000.0,0.9333931860749511
NGFS_NetZero2050,2026,39.8,707700000.0,19900000000.0,11940000000.0,32547700000.0,2.1743471888950676
NGFS_NetZero2050,2027,39.601,1277289000.0000007,19800500000.0,11880300000.0,32958089000.0,3.8754947230101866
NGFS_NetZero2050,2028,39.402995,703591845.0000002,19701497499.999996,11820898500.0,32225987844.999996,2.183305748094129
NGFS_NetZero2050,2029,39.205980025,1362732546.825001,19602990012.500004,11761794007.5,32727516566.825005,4.163873980607395
NGFS_NetZero2050,2030,39.009950124875,2185634289.3356237,19504975062.437496,11702985037.462498,33393594389.23562,6.545070482260394
NGFS_NetZero2050,2031,38.81490037425063,89312979.6778407,19407450187.125313,11644470112.275188,31141233279.078342,0.2867997515623248
NGFS_NetZero2050,2032,38.62082587237937,-3.7631321946173055e-05,19310412936.189686,11586247761.713812,30896660697.903458,-1.2179737582037982e-13
NGFS_NetZero2050,2033,38.42772174301747,4593577.009430802,19213860871.508736,11528316522.905241,30746770971.42341,0.014940030657853971
NGFS_NetZero2050,2034,38.23558313430239,179492162.22731474,19117791567.151196,11470674940.290718,30767958669.669228,0.5833736457929413
NGFS_NetZero2050,2035,38.04440521863087,439481465.8030448,19022202609.315434,11413321565.589262,30875005640.70774,1.4234214915368373
NGFS_NetZero2050,2036,37.85418319253772,732908329.0390072,18927091596.26886,11356254957.761316,31016254883.069183,2.3629813844452228
NGFS_NetZero2050,2037,37.66491227657503,0.0,18832456138.287514,11299473682.97251,30131929821.260025,0.0
NGFS_NetZero2050,2038,37.47658771519214,-2.3978407441890194e-05,18738293857.59607,11242976314.557642,29981270172.153687,-7.997795725199496e-14
NGFS_NetZero2050,2039,37.289204776616266,-2.6310341762211586e-05,18644602388.308132,11186761432.98488,29831363821.292984,-8.819691221569908e-14
NGFS_NetZero2050,2040,37.10275875273312,0.0,18551379376.36656,11130827625.819937,29682207002.1865,0.0
