year,hotmetal_BF-BOF_Mt,hotmetal_FINEX-BOF_Mt,hotmetal_BF-BOF+CCUS_Mt,total_hotmetal_Mt,reduction_NG-DRI-dom_Mt,reduction_H2-DRI-dom_Mt,total_reduction_Mt,scrap_consumption_Mt,hbi_import_Mt,eaf_production_Mt,total_steel_Mt,demand_Mt,demand_satisfied,scope1_emissions_MtCO2,free_allocation_MtCO2,carbon_price_USD_per_tCO2,ets_positive_MtCO2,ets_cost_USD,ets_cost_discounted_USD,ets_cost_calculated_USD,ets_validation_match
2025,23.8,0.0,0.0,23.8,0.0,0.0,0.0,14.967391,2.6413043,16.2,40.0,40.0,True,49.980000000000004,75.0,50.0,0.0,0.0,0.0,0.0,True
2026,23.6,0.0,0.0,23.6,0.0,0.0,0.0,14.791304,2.8173913,16.2,39.8,39.8,True,49.56,71.25,70.0,0.0,0.0,0.0,0.0,True
2027,23.4,0.0,0.0,23.4,0.0,0.0,0.0,14.615217,2.9934783,16.2,39.599999999999994,39.6,True,49.14,67.5,90.0,0.0,0.0,0.0,0.0,True
2028,23.2,0.0,0.0,23.2,0.0,0.0,0.0,14.43913,3.1695652,16.2,39.4,39.4,True,48.72,63.75,110.0,0.0,0.0,0.0,0.0,True
2029,23.0,0.0,0.0,23.0,0.0,0.0,0.0,14.263043,3.3456522,16.2,39.2,39.2,True,48.300000000000004,60.0,130.0,0.0,0.0,0.0,0.0,True
2030,22.8,0.0,0.0,22.8,0.0,0.0,0.0,14.086957,3.5217391,16.2,39.0,39.0,True,47.88,56.25,150.0,0.0,0.0,0.0,0.0,True
2031,22.6,0.0,0.0,22.6,0.0,0.0,0.0,13.91087,3.6978261,16.2,38.8,38.8,True,47.46000000000001,54.0,165.0,0.0,0.0,0.0,0.0,True
2032,22.4,0.0,0.0,22.4,0.0,0.0,0.0,13.734783,3.873913,16.2,38.599999999999994,38.6,True,47.04,51.75,180.0,0.0,0.0,0.0,0.0,True
2033,22.2,0.0,0.0,22.2,0.0,0.0,0.0,13.558696,4.05,16.2,38.4,38.4,True,46.62,49.5,195.0,0.0,0.0,0.0,0.0,True
2034,22.0,0.0,0.0,22.0,0.0,0.0,0.0,13.382609,4.226087,16.2,38.2,38.2,True,46.2,47.25,210.0,0.0,0.0,0.0,0.0,True
2035,21.8,0.0,0.0,21.8,0.0,0.0,0.0,13.206522,4.4021739,16.2,38.0,38.0,True,45.78,45.0,225.0,0.78,175500000.0,107741775.99640322,175500000.00000027,True
2040,17.2,0.0,0.0,17.2,0.0,0.0,0.0,15.065217,6.4565217,19.8,37.0,37.0,True,36.12,37.5,300.0,0.0,0.0,0.0,0.0,True
2045,12.6,0.0,0.0,12.6,0.0,0.0,0.0,16.532609,8.9021739,23.4,36.0,36.0,True,26.46,26.25,375.0,0.21,78750000.0,29680046.77624878,78750000.00000031,True
2050,11.6,0.0,0.0,11.6,0.0,0.0,0.0,15.26087,10.173913,23.4,35.0,35.0,True,24.36,18.75,450.0,5.61,2524500000.0,745491847.1509998,2524499999.9999995,True
