scenario,year,technology,production_Mt,market_share_pct
NGFS_NetZero2050,2025,BF-BOF,38.2,95.5
NGFS_NetZero2050,2025,BF-BOF+CCUS,0.0,0.0
NGFS_NetZero2050,2025,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2025,Scrap-EAF,1.8,4.5
NGFS_NetZero2050,2025,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2025,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2025,HyREX,0.0,0.0
NGFS_NetZero2050,2026,BF-BOF,38.0,95.47738693467338
NGFS_NetZero2050,2026,BF-BOF+CCUS,0.0,0.0
NGFS_NetZero2050,2026,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2026,Scrap-EAF,1.8,4.522613065326634
NGFS_NetZero2050,2026,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2026,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2026,HyREX,0.0,0.0
NGFS_NetZero2050,2027,BF-BOF,37.801,95.45466023585264
NGFS_NetZero2050,2027,BF-BOF+CCUS,0.0,0.0
NGFS_NetZero2050,2027,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2027,Scrap-EAF,1.8,4.54533976414737
NGFS_NetZero2050,2027,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2027,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2027,HyREX,0.0,0.0
NGFS_NetZero2050,2028,BF-BOF,30.402994999999997,77.15909666257603
NGFS_NetZero2050,2028,BF-BOF+CCUS,0.0,0.0
NGFS_NetZero2050,2028,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2028,Scrap-EAF,9.000000000000002,22.840903337423978
NGFS_NetZero2050,2028,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2028,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2028,HyREX,0.0,0.0
NGFS_NetZero2050,2029,BF-BOF,30.205980025,77.04431825384525
NGFS_NetZero2050,2029,BF-BOF+CCUS,0.0,0.0
NGFS_NetZero2050,2029,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2029,Scrap-EAF,9.000000000000004,22.955681746154752
NGFS_NetZero2050,2029,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2029,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2029,HyREX,0.0,0.0
NGFS_NetZero2050,2030,BF-BOF,30.009950124875022,76.92896306919127
NGFS_NetZero2050,2030,BF-BOF+CCUS,0.0,0.0
NGFS_NetZero2050,2030,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2030,Scrap-EAF,8.999999999999975,23.071036930808724
NGFS_NetZero2050,2030,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2030,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2030,HyREX,0.0,0.0
NGFS_NetZero2050,2031,BF-BOF,20.814900374250662,53.62605642048494
NGFS_NetZero2050,2031,BF-BOF+CCUS,9.0,23.186971789757575
NGFS_NetZero2050,2031,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2031,Scrap-EAF,8.999999999999966,23.18697178975749
NGFS_NetZero2050,2031,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2031,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2031,HyREX,0.0,0.0
NGFS_NetZero2050,2032,BF-BOF,19.630683852987445,50.82926998468671
NGFS_NetZero2050,2032,BF-BOF+CCUS,9.0,23.303489235937263
NGFS_NetZero2050,2032,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2032,Scrap-EAF,9.990142019391925,25.867240779376033
NGFS_NetZero2050,2032,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2032,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2032,HyREX,0.0,0.0
NGFS_NetZero2050,2033,BF-BOF,18.774257706449777,48.856025949186446
NGFS_NetZero2050,2033,BF-BOF+CCUS,9.0,23.420592196921874
NGFS_NetZero2050,2033,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2033,Scrap-EAF,10.653464036567692,27.723381853891677
NGFS_NetZero2050,2033,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2033,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2033,HyREX,0.0,0.0
NGFS_NetZero2050,2034,BF-BOF,18.43558313430195,48.215776047005775
NGFS_NetZero2050,2034,BF-BOF+CCUS,9.0,23.538283614996853
NGFS_NetZero2050,2034,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2034,Scrap-EAF,10.800000000000436,28.245940337997368
NGFS_NetZero2050,2034,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2034,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2034,HyREX,0.0,0.0
NGFS_NetZero2050,2035,BF-BOF,17.259605767960394,45.36700118920016
NGFS_NetZero2050,2035,BF-BOF+CCUS,9.0,23.656566447233025
NGFS_NetZero2050,2035,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2035,Scrap-EAF,11.784799450670477,30.97643236356682
NGFS_NetZero2050,2035,NG-DRI-EAF,0.0,0.0
