year,production_BF-BOF_Mt,production_BF-BOF+CCUS_Mt,production_FINEX-BOF_Mt,production_Scrap-EAF_Mt,production_NG-DRI-EAF_Mt,production_H2-DRI-EAF_Mt,production_HyREX_Mt,total_production_Mt,scope1_emissions_MtCO2,carbon_price_USD_per_tCO2,free_allocation_MtCO2,ets_cost_USD,ets_cost_calculated_USD,ets_positive_MtCO2
2025,38.2,0.0,0.0,1.8,0.0,0.0,0.0,40.0,81.03000000000002,50,75.0,301500000.0000001,301500000.0000007,6.030000000000015
2026,38.0,0.0,0.0,1.8,0.0,0.0,0.0,39.8,80.61,70,70.5,707699999.9999996,707700000.0,10.11
2027,37.801,0.0,0.0,1.8,0.0,0.0,0.0,39.601,80.19210000000001,90,66.0,1277289000.0000002,1277289000.000001,14.19210000000001
2028,30.402994999999997,0.0,0.0,9.000000000000002,0.0,0.0,0.0,39.402995,67.8962895,110,61.49999999999999,703591844.9999999,703591845.0000002,6.396289500000002
2029,30.205980025,0.0,0.0,9.000000000000004,0.0,0.0,0.0,39.205980025,67.4825580525,130,57.0,1362732546.8250003,1362732546.8249996,10.482558052499996
2030,30.009950124875022,0.0,0.0,8.999999999999975,0.0,0.0,0.0,39.009950124875,67.07089526223754,150,52.5,2185634289.33563,2185634289.3356314,14.570895262237542
2031,20.814900374250662,9.0,0.0,8.999999999999966,0.0,0.0,0.0,38.81490037425063,51.54129078592638,165,51.00000000000001,89312979.67784968,89312979.67785123,0.5412907859263711
2032,19.630683852987445,9.0,0.0,9.990142019391925,0.0,0.0,0.0,38.62082587237937,49.50000000000001,180,49.5,0.0,1.2789769243681803e-06,7.105427357601002e-15
2033,18.774257706449777,9.0,0.0,10.653464036567692,0.0,0.0,0.0,38.42772174301747,47.99999999999999,195,48.0,0.0,0.0,0.0
2034,18.43558313430195,9.0,0.0,10.800000000000436,0.0,0.0,0.0,38.23558313430239,47.354724582034294,210,46.5,179492162.22720122,179492162.22720167,0.8547245820342937
2035,17.259605767960394,9.0,0.0,11.784799450670477,0.0,0.0,0.0,38.04440521863087,45.32833186551854,225,45.0,73874669.74167094,73874669.74167207,0.32833186551854254
2036,16.733570897015042,9.0,0.0,12.120612295522676,0.0,0.0,0.0,37.85418319253772,44.37477441671679,240,43.5,209945860.01202902,209945860.01202947,0.8747744167167895
2037,16.208587253056077,9.000000000000536,0.0,12.456325023518415,0.0,0.0,0.0,37.66491227657503,43.423379492001274,255,42.00000000000001,362961770.46032137,362961770.46032304,1.423379492001267
2038,15.8765877151911,9.0,0.0,12.600000000001053,0.0,0.0,0.0,37.47658771519215,42.79083420190178,270,40.5,618525234.5134795,618525234.5134809,2.290834201901781
2039,13.712035060922478,13.500000000001181,0.0,10.077169715692541,0.0,0.0,0.0,37.2892047766162,38.999999999999346,285,39.0,-0.0001891737450721264,0.0,0.0
2040,12.85379306743642,13.499999999999742,0.0,10.748965685296959,0.0,0.0,0.0,37.10275875273312,37.50000000000001,300,37.5,0.0,2.1316282072803006e-06,7.105427357601002e-15
2041,11.995296829371968,13.499999999999742,0.0,11.42194812959774,0.0,0.0,0.0,36.91724495896945,36.00000000000001,315,36.0,0.0,2.2382096176443156e-06,7.105427357601002e-15
2042,11.13654761795238,13.499999999999742,0.0,12.09611111622248,0.0,0.0,0.0,36.7326587341746,34.5,330,34.5,0.0,0.0,0.0
2043,10.448995440503234,13.499999999999742,0.0,12.600000000000739,0.0,0.0,0.0,36.54899544050372,33.28289042505701,345,33.0,97597196.64466979,97597196.6446691,0.2828904250570119
2044,9.418295328190577,13.499999999999742,0.0,13.447955135110892,0.0,0.0,0.0,36.36625046330121,31.500000000000007,360,31.5,0.0,2.5579538487363607e-06,7.105427357601002e-15
2045,8.558794760640534,13.499999999999742,0.0,14.125624450344421,0.0,0.0,0.0,36.1844192109847,30.000000000000004,375,30.0,0.0,1.3322676295501878e-06,3.552713678800501e-15
2046,8.10349711492961,13.499999999999742,0.0,14.400000000000427,0.0,0.0,0.0,36.00349711492978,29.167343941352264,390,28.5,260264137.1273817,260264137.1273831,0.6673439413522644
2047,6.839051010176114,13.499999999999742,0.0,15.484428619179269,0.0,0.0,0.0,35.82347962935513,27.0000000000004,405,27.0,0.0001625112583599219,0.00016258994151030493,4.014566457044566e-13
2048,6.0016635187042215,13.499999999999742,0.0,16.142698712504384,0.0,0.0,0.0,35.64436223120835,25.53770780990573,420,25.500000000000004,15837280.160405196,15837280.160404814,0.03770780990572575
2049,5.766140420052578,13.499999999999742,0.0,16.199999999999992,0.0,0.0,0.0,35.46614042005231,25.0688948821103,435,24.0,464969273.7179804,464969273.7179804,1.0688948821102997
2050,5.588809717952314,13.499999999999742,0.0,16.199999999999992,0.0,0.0,0.0,35.28880971795205,24.696500407699745,450,22.5,988425183.4648846,988425183.4648851,2.1965004076997445
