scenario,year,scope1_emissions_MtCO2,total_production_Mt,free_allocation_MtCO2,carbon_price_USD_tCO2,net_emissions_MtCO2,ets_cost_million_USD
NGFS_NetZero2050,2025,81.03000000000002,40.0,75.0,50,6.030000000000015,301.5000000000001
NGFS_NetZero2050,2026,80.61,39.8,70.5,70,10.11,707.6999999999996
NGFS_NetZero2050,2027,80.19210000000001,39.601,66.0,90,14.19210000000001,1277.2890000000002
NGFS_NetZero2050,2028,67.8962895,39.402995,61.49999999999999,110,6.396289500000002,703.5918450000003
NGFS_NetZero2050,2029,67.48255805250001,39.205980025,57.0,130,10.48255805250001,1362.732546825001
NGFS_NetZero2050,2030,67.0708952622375,39.009950124875,52.5,150,14.5708952622375,2185.634289335624
NGFS_NetZero2050,2031,51.54129078592715,38.81490037425063,51.00000000000001,165,0.5412907859271456,89.31297967796138
NGFS_NetZero2050,2032,49.50000000000077,38.62082587237937,49.5,180,7.673861546209082e-13,1.3654475863126955e-10
NGFS_NetZero2050,2033,48.02355680517652,38.42772174301747,48.0,195,0.02355680517651848,4.593577009421292
NGFS_NetZero2050,2034,47.354724582034315,38.23558313430239,46.5,210,0.854724582034315,179.49216222720554
NGFS_NetZero2050,2035,46.95325095912522,38.04440521863087,45.0,225,1.9532509591252207,439.48146580317535
NGFS_NetZero2050,2036,46.55378470432969,37.85418319253772,43.5,240,3.0537847043296935,732.9083290391267
NGFS_NetZero2050,2037,42.00000000000001,37.66491227657503,42.00000000000001,255,0.0,0.0
NGFS_NetZero2050,2038,40.500000000001414,37.47658771519214,40.5,270,1.4139800441625994e-12,3.817152285040392e-10
NGFS_NetZero2050,2039,39.00000000000005,37.289204776616316,39.0,285,4.973799150320701e-14,0.0
NGFS_NetZero2050,2040,37.49999999999999,37.10275875273312,37.5,300,0.0,0.0
NGFS_NetZero2050,2041,37.026214413835916,36.91724495896945,36.0,315,1.0262144138359162,323.25754035831267
NGFS_NetZero2050,2042,36.63858334176604,36.7326587341746,34.5,330,2.1385833417660365,705.7325027827907
NGFS_NetZero2050,2043,33.00000000000003,36.54899544050372,33.0,345,2.842170943040401e-14,9.351743354866394e-12
NGFS_NetZero2050,2044,31.500000000000057,36.36625046330121,31.5,360,5.684341886080802e-14,2.0493934998630834e-11
NGFS_NetZero2050,2045,30.0,36.1844192109847,30.0,375,0.0,0.0
NGFS_NetZero2050,2046,28.500000000000025,36.003497114929836,28.5,390,2.4868995751603507e-14,0.0
NGFS_NetZero2050,2047,27.16930722164575,35.82347962935513,27.0,405,0.16930722164574874,68.5694247665273
NGFS_NetZero2050,2048,25.5,35.64436223120835,25.500000000000004,420,0.0,0.0
NGFS_NetZero2050,2049,24.0,35.46614042005231,24.0,435,0.0,0.0
NGFS_NetZero2050,2050,23.0765004076993,35.28880971795205,22.5,450,0.5765004076992994,259.42518346468387
NGFS_Below2C,2025,81.03000000000002,40.0,75.0,30,6.030000000000015,180.9000000000001
NGFS_Below2C,2026,80.61,39.8,70.5,40,10.11,404.39999999999975
NGFS_Below2C,2027,80.19210000000001,39.601,66.0,50,14.19210000000001,709.6050000000001
NGFS_Below2C,2028,79.7762895,39.402995,61.49999999999999,60,18.27628950000001,1096.5773700000002
NGFS_Below2C,2029,79.36255805250002,39.205980025,57.0,70,22.36255805250002,1565.3790636750007
NGFS_Below2C,2030,78.95089526223751,39.009950124875,52.5,80,26.45089526223751,2116.071620979
NGFS_Below2C,2031,78.54129078592632,38.81490037425063,51.00000000000001,88,27.541290785926314,2423.6335891615154
NGFS_Below2C,2032,78.13373433199669,38.62082587237937,49.5,96,28.633734331996692,2748.838495871681
NGFS_Below2C,2033,77.7282156603367,38.42772174301747,48.0,104,29.7282156603367,3091.7344286750163
NGFS_Below2C,2034,77.32472458203503,38.23558313430239,46.5,112,30.82472458203503,3452.369153187922
NGFS_Below2C,2035,62.07325095912483,38.04440521863087,45.0,120,17.073250959124827,2048.7901150949792
NGFS_Below2C,2036,61.67378470432921,37.85418319253772,43.5,128,18.173784704329208,2326.2444421541386
NGFS_Below2C,2037,61.276315780807565,37.66491227657503,42.00000000000001,136,19.276315780807558,2621.578946189828
NGFS_Below2C,2038,60.88083420190352,37.47658771519215,40.5,144,20.380834201903518,2934.8401250741067
NGFS_Below2C,2039,60.48733003089402,37.2892047766162,39.0,152,21.48733003089402,3266.0741646958913
NGFS_Below2C,2040,60.09579338073956,37.10275875273312,37.5,160,22.595793380739558,3615.3269409183295
NGFS_Below2C,2041,59.70621441383584,36.91724495896945,36.0,168,23.706214413835838,3982.6440215244206
NGFS_Below2C,2042,57.11846617454436,36.7326587341746,34.5,176,22.61846617454436,3980.850046719808
NGFS_Below2C,2043,56.52718963314529,36.54899544050372,33.0,184,23.52718963314529,4329.002892498735
NGFS_Below2C,2044,55.938001053400654,36.36625046330121,31.5,192,24.438001053400654,4692.096202252926
NGFS_Below2C,2045,55.35088999550206,36.1844192109847,30.0,200,25.350889995502058,5070.1779991004105
NGFS_Below2C,2046,54.81734394135253,36.00349711492978,28.5,208,26.317343941352533,5474.007539801328
NGFS_Below2C,2047,54.43930722164577,35.82347962935513,27.0,216,27.43930722164577,5926.890359875485
NGFS_Below2C,2048,54.06316068553753,35.64436223120835,25.500000000000004,224,28.56316068553753,6398.147993560407
NGFS_Below2C,2049,53.68889488210986,35.46614042005231,24.0,232,29.688894882109857,6887.823612649487
NGFS_Below2C,2050,53.3165004076993,35.28880971795205,22.5,240,30.8165004076993,7395.960097847832
NGFS_NDCs,2025,83.34,40.0,75.0,15,8.340000000000003,125.1000000000001
NGFS_NDCs,2026,83.25,39.8,70.5,20,12.75,254.99999999999983
NGFS_NDCs,2027,80.19210000000001,39.601,66.0,25,14.19210000000001,354.80250000000007
NGFS_NDCs,2028,79.7762895,39.402995,61.49999999999999,30,18.27628950000001,548.2886850000001
NGFS_NDCs,2029,79.36255805250002,39.205980025,57.0,35,22.36255805250002,782.6895318375003
NGFS_NDCs,2030,78.95089526223751,39.009950124875,52.5,40,26.45089526223751,1058.0358104895
NGFS_NDCs,2031,78.54129078592632,38.81490037425063,51.00000000000001,43,27.541290785926314,1184.2755037948314
NGFS_NDCs,2032,78.13373433199669,38.62082587237937,49.5,46,28.633734331996692,1317.1517792718473
NGFS_NDCs,2033,77.7282156603367,38.42772174301747,48.0,49,29.7282156603367,1456.682567356498
NGFS_NDCs,2034,77.32472458203503,38.23558313430239,46.5,52,30.82472458203503,1602.8856782658208
NGFS_NDCs,2035,76.92325095912484,38.04440521863087,45.0,55,31.923250959124843,1755.7788027518657
NGFS_NDCs,2036,76.52378470432922,37.85418319253772,43.5,58,33.023784704329216,1915.379512851094
NGFS_NDCs,2037,76.12631578080757,37.66491227657503,42.00000000000001,61,34.126315780807566,2081.7052626292616
NGFS_NDCs,2038,75.73083420190353,37.47658771519215,40.5,64,35.230834201903534,2254.7733889218257
NGFS_NDCs,2039,75.33733003089404,37.2892047766162,39.0,67,36.33733003089404,2434.6011120699
NGFS_NDCs,2040,74.94579338073957,37.10275875273312,37.5,70,37.44579338073957,2621.2055366517698
NGFS_NDCs,2041,74.55621441383585,36.91724495896945,36.0,73,38.556214413835846,2814.603652210016
NGFS_NDCs,2042,74.16858334176666,36.7326587341746,34.5,76,39.66858334176666,3014.8123339742665
NGFS_NDCs,2043,73.78289042505781,36.54899544050372,33.0,79,40.782890425057815,3221.8483435795665
NGFS_NDCs,2044,73.39912597293257,36.36625046330121,31.5,82,41.899125972932566,3435.7283297804693
NGFS_NDCs,2045,73.01728034306788,36.1844192109847,30.0,85,43.01728034306788,3656.468829160769
NGFS_NDCs,2046,72.63734394135254,36.00349711492978,28.5,88,44.13734394135254,3884.0862668390237
NGFS_NDCs,2047,72.25930722164578,35.82347962935513,27.0,91,45.259307221645784,4118.596957169765
NGFS_NDCs,2048,71.88316068553755,35.64436223120835,25.500000000000004,94,46.38316068553755,4360.017104440528
NGFS_NDCs,2049,71.50889488210987,35.46614042005231,24.0,97,47.50889488210987,4608.362803564656
NGFS_NDCs,2050,71.13650040769932,35.28880971795205,22.5,100,48.636500407699316,4863.65004076993
