scenario,year,technology,production_Mt,market_share_pct
NGFS_NetZero2050,2025,BF-BOF,38.2,95.5
NGFS_NetZero2050,2025,BF-BOF+CCUS,0.0,0.0
NGFS_NetZero2050,2025,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2025,Scrap-EAF,1.8000000000000003,4.500000000000001
NGFS_NetZero2050,2025,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2025,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2025,HyREX,0.0,0.0
NGFS_NetZero2050,2026,BF-BOF,38.0,95.47738693467338
NGFS_NetZero2050,2026,BF-BOF+CCUS,0.0,0.0
NGFS_NetZero2050,2026,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2026,Scrap-EAF,1.8000000000000003,4.522613065326634
NGFS_NetZero2050,2026,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2026,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2026,HyREX,0.0,0.0
NGFS_NetZero2050,2027,BF-BOF,37.801,95.45466023585264
NGFS_NetZero2050,2027,BF-BOF+CCUS,0.0,0.0
NGFS_NetZero2050,2027,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2027,Scrap-EAF,1.8000000000000003,4.5453397641473705
NGFS_NetZero2050,2027,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2027,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2027,HyREX,0.0,0.0
NGFS_NetZero2050,2028,BF-BOF,30.402994999999997,77.15909666257603
NGFS_NetZero2050,2028,BF-BOF+CCUS,0.0,0.0
NGFS_NetZero2050,2028,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2028,Scrap-EAF,9.0,22.84090333742397
NGFS_NetZero2050,2028,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2028,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2028,HyREX,0.0,0.0
NGFS_NetZero2050,2029,BF-BOF,30.205980025000002,77.04431825384526
NGFS_NetZero2050,2029,BF-BOF+CCUS,0.0,0.0
NGFS_NetZero2050,2029,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2029,Scrap-EAF,9.0,22.955681746154745
NGFS_NetZero2050,2029,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2029,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2029,HyREX,0.0,0.0
NGFS_NetZero2050,2030,BF-BOF,30.009950124874997,76.92896306919121
NGFS_NetZero2050,2030,BF-BOF+CCUS,0.0,0.0
NGFS_NetZero2050,2030,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2030,Scrap-EAF,9.0,23.071036930808788
NGFS_NetZero2050,2030,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2030,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2030,HyREX,0.0,0.0
NGFS_NetZero2050,2031,BF-BOF,20.814900374251124,53.62605642048614
NGFS_NetZero2050,2031,BF-BOF+CCUS,8.999999999999497,23.18697178975628
NGFS_NetZero2050,2031,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2031,Scrap-EAF,9.000000000000005,23.18697178975759
NGFS_NetZero2050,2031,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2031,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2031,HyREX,0.0,0.0
NGFS_NetZero2050,2032,BF-BOF,19.6306838529879,50.82926998468788
NGFS_NetZero2050,2032,BF-BOF+CCUS,8.999999999999496,23.303489235935956
NGFS_NetZero2050,2032,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2032,Scrap-EAF,9.990142019391977,25.867240779376168
NGFS_NetZero2050,2032,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2032,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2032,HyREX,0.0,0.0
NGFS_NetZero2050,2033,BF-BOF,18.788534558071913,48.89317842915289
NGFS_NetZero2050,2033,BF-BOF+CCUS,9.000000000000032,23.42059219692196
NGFS_NetZero2050,2033,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2033,Scrap-EAF,10.639187184945527,27.68622937392515
NGFS_NetZero2050,2033,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2033,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2033,HyREX,0.0,0.0
NGFS_NetZero2050,2034,BF-BOF,18.435583134301968,48.21577604700582
NGFS_NetZero2050,2034,BF-BOF+CCUS,9.00000000000042,23.53828361499795
NGFS_NetZero2050,2034,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2034,Scrap-EAF,10.8,28.245940337996227
NGFS_NetZero2050,2034,NG-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2034,H2-DRI-EAF,0.0,0.0
NGFS_NetZero2050,2034,HyREX,0.0,0.0
NGFS_NetZero2050,2035,BF-BOF,18.2444052186311,47.955553816087956
NGFS_NetZero2050,2035,BF-BOF+CCUS,8.999999999999636,23.656566447232066
NGFS_NetZero2050,2035,FINEX-BOF,0.0,0.0
NGFS_NetZero2050,2035,Scrap-EAF,10.800000000000132,28.387879736679977
