year,production_BF-BOF_Mt,production_BF-BOF+CCUS_Mt,production_FINEX-BOF_Mt,production_Scrap-EAF_Mt,production_NG-DRI-EAF_Mt,production_H2-DRI-EAF_Mt,production_HyREX_Mt,total_production_Mt,scope1_emissions_MtCO2,carbon_price_USD_per_tCO2,free_allocation_MtCO2,ets_cost_USD,ets_cost_calculated_USD,ets_positive_MtCO2
2025,38.2,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,40.0,81.03000000000002,50,75.0,301500000.0000001,301500000.0000007,6.030000000000015
2026,38.0,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,39.8,80.61,70,70.5,707699999.9999996,707700000.0,10.11
2027,37.801,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,39.601,80.19210000000001,90,66.0,1277289000.0000002,1277289000.000001,14.19210000000001
2028,30.402994999999997,0.0,0.0,9.0,0.0,0.0,0.0,39.402995,67.8962895,110,61.49999999999999,703591845.0000002,703591845.0000002,6.396289500000002
2029,30.205980025000002,0.0,0.0,9.0,0.0,0.0,0.0,39.205980025,67.48255805250001,130,57.0,1362732546.825001,1362732546.8250015,10.48255805250001
2030,30.009950124874997,0.0,0.0,9.0,0.0,0.0,0.0,39.009950124875,67.0708952622375,150,52.5,2185634289.335624,2185634289.3356247,14.5708952622375
2031,20.814900374251124,8.999999999999497,0.0,9.000000000000005,0.0,0.0,0.0,38.81490037425063,51.54129078592715,165,51.00000000000001,89312979.67796138,89312979.67797902,0.5412907859271456
2032,19.6306838529879,8.999999999999496,0.0,9.990142019391977,0.0,0.0,0.0,38.62082587237937,49.50000000000077,180,49.5,0.00013654475863126954,0.00013812950783176348,7.673861546209082e-13
2033,18.788534558071913,9.000000000000032,0.0,10.639187184945527,0.0,0.0,0.0,38.42772174301747,48.02355680517652,195,48.0,4593577.009421292,4593577.009421104,0.02355680517651848
2034,18.435583134301968,9.00000000000042,0.0,10.8,0.0,0.0,0.0,38.23558313430239,47.354724582034315,210,46.5,179492162.22720554,179492162.22720614,0.854724582034315
2035,18.2444052186311,8.999999999999636,0.0,10.800000000000132,0.0,0.0,0.0,38.04440521863087,46.95325095912522,225,45.0,439481465.80317533,439481465.8031747,1.9532509591252207
2036,18.054183192538005,8.999999999999636,0.0,10.800000000000075,0.0,0.0,0.0,37.85418319253772,46.55378470432969,240,43.5,732908329.0391266,732908329.0391265,3.0537847043296935
2037,15.427751197297717,13.499999999999638,0.0,8.737161079277676,0.0,0.0,0.0,37.66491227657503,42.00000000000001,255,42.00000000000001,0.0,0.0,0.0
2038,14.570021532221174,13.499999999999638,0.0,9.406566182971327,0.0,0.0,0.0,37.47658771519214,40.500000000001414,270,40.5,0.00038171522850403923,0.00038177461192390183,1.4139800441625994e-12
2039,13.71203506092286,13.500000000000313,0.0,10.077169715693145,0.0,0.0,0.0,37.289204776616316,39.00000000000005,285,39.0,0.0,1.4175327578413999e-05,4.973799150320701e-14
2040,12.853793067436424,13.500000000000313,0.0,10.748965685296387,0.0,0.0,0.0,37.10275875273312,37.49999999999999,300,37.5,0.0,0.0,0.0
2041,12.617244958969499,13.500000000000313,0.0,10.799999999999637,0.0,0.0,0.0,36.91724495896945,37.026214413835916,315,36.0,323257540.35831267,323257540.3583136,1.0262144138359162
2042,12.432658734174218,13.499999999999854,0.0,10.800000000000527,0.0,0.0,0.0,36.7326587341746,36.63858334176604,330,34.5,705732502.7827907,705732502.7827921,2.1385833417660365
2043,10.359364879862637,17.999999999999854,0.0,8.189630560641225,0.0,0.0,0.0,36.54899544050372,33.00000000000003,345,33.0,9.351743354866395e-06,9.805489753489383e-06,2.842170943040401e-14
2044,9.500113510008791,17.999999999999854,0.0,8.866136953292568,0.0,0.0,0.0,36.36625046330121,31.500000000000057,360,31.5,2.0493934998630835e-05,2.0463630789890885e-05,5.684341886080802e-14
2045,8.640612942458716,17.999999999999854,0.0,9.54380626852613,0.0,0.0,0.0,36.1844192109847,30.0,375,30.0,0.0,0.0,0.0
2046,7.780864423200969,18.0,0.0,10.222632691728869,0.0,0.0,0.0,36.003497114929836,28.500000000000025,390,28.5,0.0,9.698908343125368e-06,2.4868995751603507e-14
2047,7.023479629355116,18.0,0.0,10.800000000000011,0.0,0.0,0.0,35.82347962935513,27.16930722164575,405,27.0,68569424.76652731,68569424.76652823,0.16930722164574874
2048,6.060628482397725,18.0,0.0,11.583733748810623,0.0,0.0,0.0,35.64436223120835,25.5,420,25.500000000000004,0.0,0.0,0.0
2049,5.200143521803915,18.0,0.0,12.265996898248398,0.0,0.0,0.0,35.46614042005231,24.0,435,24.0,0.0,0.0,0.0
2050,4.688809717952047,18.0,0.0,12.6,0.0,0.0,0.0,35.28880971795205,23.0765004076993,450,22.5,259425183.4646839,259425183.46468472,0.5765004076992994
