year,production_BF-BOF_Mt,production_BF-BOF+CCUS_Mt,production_FINEX-BOF_Mt,production_Scrap-EAF_Mt,production_NG-DRI-EAF_Mt,production_H2-DRI-EAF_Mt,production_HyREX_Mt,total_production_Mt,scope1_emissions_MtCO2,carbon_price_USD_per_tCO2,free_allocation_MtCO2,ets_cost_USD,ets_cost_calculated_USD,ets_positive_MtCO2
2025,38.2,0.0,0.0,1.7999999999999992,0.0,0.0,0.0,40.0,81.03000000000002,50,75.0,301500000.00000024,301500000.0000007,6.030000000000015
2026,38.0,0.0,0.0,1.7999999999999992,0.0,0.0,0.0,39.8,80.61,70,70.5,707699999.9999998,707700000.0,10.11
2027,37.801,0.0,0.0,1.7999999999999992,0.0,0.0,0.0,39.601,80.19210000000001,90,66.0,1277289000.0000002,1277289000.000001,14.19210000000001
2028,30.402995000000004,0.0,0.0,8.999999999999993,0.0,0.0,0.0,39.402995,67.89628950000001,110,61.49999999999999,703591845.0000014,703591845.0000018,6.396289500000016
2029,30.205980025000002,0.0,0.0,9.0,0.0,0.0,0.0,39.205980025,67.48255805250001,130,57.0,1362732546.825001,1362732546.8250015,10.48255805250001
2030,30.009950124874997,0.0,0.0,8.999999999999998,0.0,0.0,0.0,39.009950124875,67.0708952622375,150,52.5,2185634289.3356247,2185634289.3356247,14.5708952622375
2031,20.814900374250627,9.000000000000002,0.0,8.999999999999996,0.0,0.0,0.0,38.81490037425063,51.541290785926314,165,51.00000000000001,89312979.677841,89312979.6778407,0.5412907859263072
2032,19.630683852987417,9.0,0.0,9.990142019391957,0.0,0.0,0.0,38.62082587237937,49.49999999999996,180,49.5,-9.263157305150411e-06,0.0,0.0
2033,18.7742577064498,9.0,0.0,10.653464036567676,0.0,0.0,0.0,38.42772174301747,48.000000000000036,195,48.0,0.0,6.927791673660977e-06,3.552713678800501e-14
2034,18.43558313430239,9.000000000000002,0.0,10.799999999999997,0.0,0.0,0.0,38.23558313430239,47.354724582035026,210,46.5,179492162.2273544,179492162.22735536,0.8547245820350255
2035,17.259605767960473,9.000000000000002,0.0,11.784799450670397,0.0,0.0,0.0,38.04440521863087,45.32833186551867,225,45.0,73874669.74169983,73874669.74170084,0.32833186551867044
2036,16.733570897015397,9.00000000000003,0.0,12.120612295522294,0.0,-0.0,0.0,37.85418319253772,44.37477441671738,240,43.5,209945860.01216775,209945860.01217103,0.8747744167173792
2037,16.208587253056578,9.000000000000036,0.0,12.456325023518415,0.0,-0.0,0.0,37.66491227657503,43.42337949200212,255,42.00000000000001,362961770.4605368,362961770.4605387,1.4233794920021126
2038,15.876587715192324,8.999999999999867,0.0,12.599999999999964,0.0,-0.0,0.0,37.47658771519215,42.790834201903806,270,40.5,618525234.5140258,618525234.5140276,2.290834201903806
2039,13.712035060922858,13.5,0.0,10.077169715693344,0.0,-0.0,0.0,37.2892047766162,39.00000000000001,285,39.0,0.0,2.0250467969162855e-06,7.105427357601002e-15
2040,12.853793067436424,13.5,0.0,10.7489656852967,0.0,-0.0,0.0,37.10275875273312,37.50000000000001,300,37.5,0.0,2.1316282072803006e-06,7.105427357601002e-15
2041,11.995296829371972,13.5,0.0,11.421948129597476,0.0,-0.0,0.0,36.91724495896945,36.0,315,36.0,0.0,0.0,0.0
2042,11.136547617952385,13.5,0.0,12.096111116222215,0.0,-0.0,0.0,36.7326587341746,34.5,330,34.5,0.0,0.0,0.0
2043,10.448995440503705,13.5,0.0,12.600000000000012,0.0,-0.0,0.0,36.54899544050372,33.282890425057786,345,33.0,97597196.64493538,97597196.64493631,0.2828904250577864
2044,9.418295328190581,13.5,0.0,13.447955135110632,0.0,-0.0,0.0,36.36625046330121,31.500000000000007,360,31.5,0.0,2.5579538487363607e-06,7.105427357601002e-15
2045,8.55879476064054,13.5,0.0,14.12562445034416,0.0,-0.0,0.0,36.1844192109847,30.000000000000004,375,30.0,0.0,1.3322676295501878e-06,3.552713678800501e-15
2046,8.103497114929786,13.5,0.0,14.399999999999993,0.0,-0.0,0.0,36.00349711492978,29.167343941352545,390,28.5,260264137.1274925,260264137.12749258,0.667343941352545
2047,6.839051010175875,13.5,0.0,15.484428619179251,0.0,-0.0,0.0,35.82347962935513,27.0,405,27.0,0.0,0.0,0.0
2048,6.001663518703974,13.5,0.0,16.142698712504373,0.0,-0.0,0.0,35.64436223120835,25.537707809905314,420,25.500000000000004,15837280.160230558,15837280.160230238,0.037707809905310086
2049,5.766140420052338,13.5,0.0,16.199999999999974,0.0,-0.0,0.0,35.46614042005231,25.0688948821099,435,24.0,464969273.7178054,464969273.7178057,1.0688948821098982
2050,5.588809717952074,13.5,0.0,16.199999999999974,0.0,-0.0,0.0,35.28880971795205,24.696500407699343,450,22.5,988425183.4647037,988425183.4647045,2.196500407699343
