scenario,year,total_production_Mt,ets_cost_USD,estimated_capex_USD,estimated_opex_USD,total_estimated_annual_cost_USD,ets_cost_share_pct
NGFS_NetZero2050,2025,40.0,301500000.0000001,20000000000.0,12000000000.0,32301500000.0,0.9333931860749505
NGFS_NetZero2050,2026,39.8,707699999.9999996,19900000000.0,11940000000.0,32547700000.0,2.1743471888950667
NGFS_NetZero2050,2027,39.601,1277289000.0000002,19800500000.0,11880300000.0,32958089000.0,3.8754947230101853
NGFS_NetZero2050,2028,39.402995,703591845.0000002,19701497499.999996,11820898500.0,32225987844.999996,2.183305748094129
NGFS_NetZero2050,2029,39.205980025,1362732546.825001,19602990012.500004,11761794007.5,32727516566.825005,4.163873980607395
NGFS_NetZero2050,2030,39.009950124875,2185634289.335624,19504975062.437496,11702985037.462498,33393594389.23562,6.545070482260396
NGFS_NetZero2050,2031,38.81490037425063,89312979.6778407,19407450187.125313,11644470112.275188,31141233279.078342,0.2867997515623248
NGFS_NetZero2050,2032,38.62082587237937,0.0,19310412936.189686,11586247761.713812,30896660697.903496,0.0
NGFS_NetZero2050,2033,38.42772174301747,0.0,19213860871.508736,11528316522.905241,30742177394.41398,0.0
NGFS_NetZero2050,2034,38.23558313430239,179492162.22735238,19117791567.151196,11470674940.290718,30767958669.669266,0.583373645793063
NGFS_NetZero2050,2035,38.04440521863087,73874669.74168612,19022202609.315434,11413321565.589262,30509398844.646385,0.24213741515477033
NGFS_NetZero2050,2036,37.85418319253772,209945860.01216257,18927091596.26886,11356254957.761316,30493292414.042336,0.6884984971825518
NGFS_NetZero2050,2037,37.66491227657503,362961770.4605565,18832456138.287514,11299473682.97251,30494891591.72058,1.1902379431940704
NGFS_NetZero2050,2038,37.47658771519215,618525234.5139489,18738293857.596077,11242976314.557646,30599795406.66767,2.0213378105762523
NGFS_NetZero2050,2039,37.2892047766162,0.0,18644602388.3081,11186761432.98486,29831363821.29296,0.0
NGFS_NetZero2050,2040,37.10275875273312,0.0,18551379376.36656,11130827625.819937,29682207002.1865,0.0
NGFS_NetZero2050,2041,36.91724495896945,0.0,18458622479.484726,11075173487.690834,29533795967.17556,0.0
NGFS_NetZero2050,2042,36.7326587341746,0.0,18366329367.0873,11019797620.25238,29386126987.33968,0.0
NGFS_NetZero2050,2043,36.54899544050372,97597196.64493416,18274497720.251858,10964698632.151115,29336793549.04791,0.33267847245051624
NGFS_NetZero2050,2044,36.36625046330121,0.0,18183125231.650608,10909875138.990364,29093000370.640972,0.0
NGFS_NetZero2050,2045,36.1844192109847,0.0,18092209605.492348,10855325763.29541,28947535368.787758,0.0
NGFS_NetZero2050,2046,36.00349711492978,260264137.12743065,18001748557.46489,10801049134.478933,29063061829.07125,0.8955152029683713
NGFS_NetZero2050,2047,35.82347962935513,0.0,17911739814.677563,10747043888.806538,28658783703.4841,0.0
NGFS_NetZero2050,2048,35.64436223120835,15837280.160227273,17822181115.60417,10693308669.362505,28531327065.126907,0.0555083895119087
NGFS_NetZero2050,2049,35.46614042005231,464969273.7177886,17733070210.026154,10639842126.015694,28837881609.759636,1.6123558589006362
NGFS_NetZero2050,2050,35.28880971795205,988425183.4647948,17644404858.976025,10586642915.385614,29219472957.82643,3.382761848207961
NGFS_Below2C,2025,40.0,180900000.0000003,20000000000.0,12000000000.0,32180900000.0,0.5621346823737071
NGFS_Below2C,2026,39.8,404400000.0000001,19900000000.0,11940000000.0,32244400000.0,1.2541712669486798
NGFS_Below2C,2027,39.601,709605000.0000004,19800500000.0,11880300000.0,32390405000.0,2.1907876730778773
NGFS_Below2C,2028,39.402995,1096577370.0000005,19701497499.999996,11820898500.0,32618973369.999996,3.3617776916563966
NGFS_Below2C,2029,39.205980025,1565379063.6750011,19602990012.500004,11761794007.5,32930163083.675003,4.7536328918183575
NGFS_Below2C,2030,39.009950124875,2116071620.979,19504975062.437496,11702985037.462498,33324031720.878994,6.3499868164306985
NGFS_Below2C,2031,38.81490037425063,2423633589.1615157,19407450187.125313,11644470112.275188,33475553888.562016,7.240010418437399
