scenario,year,scope1_emissions_MtCO2,total_production_Mt,free_allocation_MtCO2,carbon_price_USD_tCO2,net_emissions_MtCO2,ets_cost_million_USD
NGFS_NetZero2050,2025,81.03000000000002,40.0,75.0,50,6.030000000000015,301.5000000000001
NGFS_NetZero2050,2026,80.61,39.8,70.5,70,10.11,707.6999999999996
NGFS_NetZero2050,2027,80.19210000000001,39.601,66.0,90,14.19210000000001,1277.2890000000002
NGFS_NetZero2050,2028,67.8962895,39.402995,61.49999999999999,110,6.396289500000002,703.5918450000003
NGFS_NetZero2050,2029,67.48255805250001,39.205980025,57.0,130,10.48255805250001,1362.732546825001
NGFS_NetZero2050,2030,67.0708952622375,39.009950124875,52.5,150,14.5708952622375,2185.634289335624
NGFS_NetZero2050,2031,51.541290785926314,38.81490037425063,51.00000000000001,165,0.5412907859263072,89.3129796778407
NGFS_NetZero2050,2032,49.50000000000001,38.62082587237937,49.5,180,7.105427357601002e-15,0.0
NGFS_NetZero2050,2033,48.00000000000001,38.42772174301747,48.0,195,7.105427357601002e-15,0.0
NGFS_NetZero2050,2034,47.35472458203501,38.23558313430239,46.5,210,0.8547245820350113,179.49216222735237
NGFS_NetZero2050,2035,45.328331865518614,38.04440521863087,45.0,225,0.3283318655186136,73.87466974168612
NGFS_NetZero2050,2036,44.374774416717344,37.85418319253772,43.5,240,0.8747744167173437,209.94586001216257
NGFS_NetZero2050,2037,43.4233794920022,37.66491227657503,42.00000000000001,255,1.4233794920021907,362.9617704605565
NGFS_NetZero2050,2038,42.79083420190352,37.47658771519215,40.5,270,2.2908342019035217,618.5252345139489
NGFS_NetZero2050,2039,39.0,37.2892047766162,39.0,285,0.0,0.0
NGFS_NetZero2050,2040,37.5,37.10275875273312,37.5,300,0.0,0.0
NGFS_NetZero2050,2041,36.0,36.91724495896945,36.0,315,0.0,0.0
NGFS_NetZero2050,2042,34.5,36.7326587341746,34.5,330,0.0,0.0
NGFS_NetZero2050,2043,33.28289042505777,36.54899544050372,33.0,345,0.2828904250577722,97.59719664493416
NGFS_NetZero2050,2044,31.500000000000004,36.36625046330121,31.5,360,3.552713678800501e-15,0.0
NGFS_NetZero2050,2045,30.0,36.1844192109847,30.0,375,0.0,0.0
NGFS_NetZero2050,2046,29.167343941352534,36.00349711492978,28.5,390,0.6673439413525344,260.2641371274307
NGFS_NetZero2050,2047,27.0,35.82347962935513,27.0,405,0.0,0.0
NGFS_NetZero2050,2048,25.537707809905307,35.64436223120835,25.500000000000004,420,0.03770780990530298,15.837280160227273
NGFS_NetZero2050,2049,25.06889488210986,35.46614042005231,24.0,435,1.0688948821098592,464.96927371778855
NGFS_NetZero2050,2050,24.696500407699546,35.28880971795205,22.5,450,2.1965004076995456,988.4251834647947
NGFS_Below2C,2025,81.03000000000002,40.0,75.0,30,6.030000000000015,180.9000000000003
NGFS_Below2C,2026,80.61,39.8,70.5,40,10.11,404.4000000000001
NGFS_Below2C,2027,80.19210000000001,39.601,66.0,50,14.19210000000001,709.6050000000004
NGFS_Below2C,2028,79.7762895,39.402995,61.49999999999999,60,18.27628950000001,1096.5773700000004
NGFS_Below2C,2029,79.36255805250002,39.205980025,57.0,70,22.36255805250002,1565.3790636750011
NGFS_Below2C,2030,78.95089526223751,39.009950124875,52.5,80,26.45089526223751,2116.0716209790003
NGFS_Below2C,2031,78.54129078592632,38.81490037425063,51.00000000000001,88,27.541290785926314,2423.633589161516
NGFS_Below2C,2032,78.13373433199669,38.62082587237937,49.5,96,28.633734331996692,2748.8384958716815
NGFS_Below2C,2033,77.7282156603367,38.42772174301747,48.0,104,29.7282156603367,3091.734428675017
NGFS_Below2C,2034,77.32472458203503,38.23558313430239,46.5,112,30.82472458203503,3452.3691531879226
NGFS_Below2C,2035,62.07325095912483,38.04440521863087,45.0,120,17.073250959124827,2048.7901150949792
NGFS_Below2C,2036,61.67378470432921,37.85418319253772,43.5,128,18.173784704329208,2326.2444421541386
NGFS_Below2C,2037,58.54337949200218,37.66491227657503,42.00000000000001,136,16.543379492002174,2249.899610912295
NGFS_Below2C,2038,57.91083420190352,37.47658771519215,40.5,144,17.41083420190352,2507.160125074106
NGFS_Below2C,2039,57.51733003089402,37.2892047766162,39.0,152,18.517330030894023,2814.634164695891
NGFS_Below2C,2040,57.12579338073956,37.10275875273312,37.5,160,19.62579338073956,3140.1269409183287
NGFS_Below2C,2041,56.73621441383584,36.91724495896945,36.0,168,20.73621441383584,3483.68402152442
NGFS_Below2C,2042,53.81846617454435,36.7326587341746,34.5,176,19.318466174544348,3400.050046719806
NGFS_Below2C,2043,52.99289042505781,36.54899544050372,33.0,184,19.99289042505781,3678.691838210637
NGFS_Below2C,2044,52.60912597293256,36.36625046330121,31.5,192,21.10912597293256,4052.95218680305
NGFS_Below2C,2045,52.227280343067875,36.1844192109847,30.0,200,22.227280343067875,4445.456068613574
NGFS_Below2C,2046,51.847343941352534,36.00349711492978,28.5,208,23.347343941352534,4856.247539801328
NGFS_Below2C,2047,51.46930722164578,35.82347962935513,27.0,216,24.469307221645778,5285.370359875486
NGFS_Below2C,2048,51.09316068553754,35.64436223120835,25.500000000000004,224,25.593160685537537,5732.867993560407
NGFS_Below2C,2049,50.718894882109865,35.46614042005231,24.0,232,26.718894882109865,6198.783612649488
NGFS_Below2C,2050,50.34650040769931,35.28880971795205,22.5,240,27.84650040769931,6683.160097847833
NGFS_NDCs,2025,83.34,40.0,75.0,15,8.340000000000003,125.1000000000001
NGFS_NDCs,2026,83.25,39.8,70.5,20,12.75,254.99999999999983
NGFS_NDCs,2027,80.19210000000001,39.601,66.0,25,14.19210000000001,354.80250000000007
NGFS_NDCs,2028,79.7762895,39.402995,61.49999999999999,30,18.27628950000001,548.2886850000001
NGFS_NDCs,2029,79.36255805250002,39.205980025,57.0,35,22.36255805250002,782.6895318375003
NGFS_NDCs,2030,78.95089526223751,39.009950124875,52.5,40,26.45089526223751,1058.0358104895
NGFS_NDCs,2031,78.54129078592632,38.81490037425063,51.00000000000001,43,27.541290785926314,1184.2755037948314
NGFS_NDCs,2032,78.13373433199669,38.62082587237937,49.5,46,28.633734331996692,1317.1517792718473
NGFS_NDCs,2033,77.7282156603367,38.42772174301747,48.0,49,29.7282156603367,1456.682567356498
NGFS_NDCs,2034,77.32472458203503,38.23558313430239,46.5,52,30.82472458203503,1602.8856782658208
NGFS_NDCs,2035,76.92325095912484,38.04440521863087,45.0,55,31.923250959124843,1755.7788027518657
NGFS_NDCs,2036,76.52378470432922,37.85418319253772,43.5,58,33.023784704329216,1915.379512851094
NGFS_NDCs,2037,76.12631578080757,37.66491227657503,42.00000000000001,61,34.126315780807566,2081.7052626292616
NGFS_NDCs,2038,75.73083420190353,37.47658771519215,40.5,64,35.230834201903534,2254.7733889218257
NGFS_NDCs,2039,75.33733003089404,37.2892047766162,39.0,67,36.33733003089404,2434.6011120698995
NGFS_NDCs,2040,74.94579338073957,37.10275875273312,37.5,70,37.44579338073957,2621.2055366517698
NGFS_NDCs,2041,74.55621441383585,36.91724495896945,36.0,73,38.556214413835846,2814.603652210016
NGFS_NDCs,2042,74.16858334176666,36.7326587341746,34.5,76,39.66858334176666,3014.8123339742665
NGFS_NDCs,2043,73.78289042505781,36.54899544050372,33.0,79,40.782890425057815,3221.8483435795665
NGFS_NDCs,2044,73.39912597293257,36.36625046330121,31.5,82,41.899125972932566,3435.7283297804693
NGFS_NDCs,2045,73.01728034306788,36.1844192109847,30.0,85,43.01728034306788,3656.468829160769
NGFS_NDCs,2046,72.63734394135254,36.00349711492978,28.5,88,44.13734394135254,3884.0862668390237
NGFS_NDCs,2047,72.25930722164578,35.82347962935513,27.0,91,45.259307221645784,4118.596957169765
NGFS_NDCs,2048,71.88316068553755,35.64436223120835,25.500000000000004,94,46.38316068553755,4360.017104440528
NGFS_NDCs,2049,71.50889488210987,35.46614042005231,24.0,97,47.50889488210987,4608.362803564656
NGFS_NDCs,2050,71.13650040769932,35.28880971795205,22.5,100,48.636500407699316,4863.65004076993
