year,production_BF-BOF_Mt,production_BF-BOF+CCUS_Mt,production_FINEX-BOF_Mt,production_Scrap-EAF_Mt,production_NG-DRI-EAF_Mt,production_H2-DRI-EAF_Mt,production_HyREX_Mt,total_production_Mt,scope1_emissions_MtCO2,carbon_price_USD_per_tCO2,free_allocation_MtCO2,ets_cost_USD,ets_cost_calculated_USD,ets_positive_MtCO2
2025,38.2,-0.0,-0.0,1.8,-0.0,0.0,0.0,40.0,81.03000000000002,30,75.0,180900000.0000003,180900000.00000045,6.030000000000015
2026,38.0,-0.0,-0.0,1.8,-0.0,0.0,0.0,39.8,80.61,40,70.5,404400000.0000001,404400000.0,10.11
2027,37.801,-0.0,-0.0,1.8,-0.0,0.0,0.0,39.601,80.19210000000001,50,66.0,709605000.0000004,709605000.0000006,14.19210000000001
2028,37.602995,-0.0,-0.0,1.8,-0.0,0.0,0.0,39.402995,79.7762895,60,61.49999999999999,1096577370.0000005,1096577370.0000007,18.27628950000001
2029,37.405980025000005,-0.0,-0.0,1.8,-0.0,0.0,0.0,39.205980025,79.36255805250002,70,57.0,1565379063.6750011,1565379063.6750014,22.36255805250002
2030,37.209950124875,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,39.009950124875,78.95089526223751,80,52.5,2116071620.979,2116071620.9790006,26.45089526223751
2031,37.01490037425063,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,38.81490037425063,78.54129078592632,88,51.00000000000001,2423633589.1615157,2423633589.1615157,27.541290785926314
2032,36.82082587237937,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,38.62082587237937,78.13373433199669,96,49.5,2748838495.8716817,2748838495.871682,28.633734331996692
2033,36.627721743017474,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,38.42772174301747,77.7282156603367,104,48.0,3091734428.6750174,3091734428.6750174,29.7282156603367
2034,36.43558313430239,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,38.23558313430239,77.32472458203503,112,46.5,3452369153.1879225,3452369153.1879234,30.82472458203503
2035,27.24440521863087,-0.0,-0.0,10.8,-0.0,-0.0,-0.0,38.04440521863087,62.07325095912483,120,45.0,2048790115.094979,2048790115.094979,17.073250959124827
2036,27.054183192537717,-0.0,-0.0,10.8,-0.0,-0.0,-0.0,37.85418319253772,61.67378470432921,128,43.5,2326244442.1541386,2326244442.1541386,18.173784704329208
2037,25.208587253056614,-0.0,-0.0,12.456325023518415,-0.0,-0.0,-0.0,37.66491227657503,58.54337949200218,136,42.00000000000001,2249899610.912295,2249899610.912296,16.543379492002174
2038,24.87658771519215,-0.0,-0.0,12.6,-0.0,-0.0,-0.0,37.47658771519215,57.91083420190352,144,40.5,2507160125.0741057,2507160125.0741067,17.41083420190352
2039,24.6892047766162,-0.0,-0.0,12.6,-0.0,-0.0,-0.0,37.2892047766162,57.51733003089402,152,39.0,2814634164.695891,2814634164.6958914,18.517330030894023
2040,24.502758752733122,-0.0,-0.0,12.6,-0.0,-0.0,-0.0,37.10275875273312,57.12579338073956,160,37.5,3140126940.918329,3140126940.9183292,19.62579338073956
2041,24.317244958969447,-0.0,-0.0,12.6,-0.0,-0.0,-0.0,36.91724495896945,56.73621441383584,168,36.0,3483684021.5244203,3483684021.5244207,20.73621441383584
2042,22.5992543904035,-0.0,-0.0,14.133404343771096,-0.0,-0.0,-0.0,36.7326587341746,53.81846617454435,176,34.5,3400050046.7198057,3400050046.7198057,19.318466174544348
2043,22.148995440503718,-0.0,-0.0,14.4,-0.0,-0.0,-0.0,36.54899544050372,52.99289042505781,184,33.0,3678691838.210637,3678691838.210637,19.99289042505781
2044,21.966250463301215,-0.0,-0.0,14.4,-0.0,-0.0,-0.0,36.36625046330121,52.60912597293256,192,31.5,4052952186.80305,4052952186.803051,21.10912597293256
2045,21.7844192109847,-0.0,0.0,14.4,-0.0,-0.0,-0.0,36.1844192109847,52.227280343067875,200,30.0,4445456068.613574,4445456068.613575,22.227280343067875
2046,21.60349711492978,-0.0,0.0,14.4,0.0,-0.0,-0.0,36.00349711492978,51.847343941352534,208,28.5,4856247539.801328,4856247539.801328,23.347343941352534
2047,21.42347962935513,-0.0,0.0,14.4,0.0,-0.0,-0.0,35.82347962935513,51.46930722164578,216,27.0,5285370359.875486,5285370359.875487,24.469307221645778
2048,21.24436223120835,-0.0,0.0,14.4,0.0,-0.0,-0.0,35.64436223120835,51.09316068553754,224,25.500000000000004,5732867993.560407,5732867993.560408,25.593160685537537
2049,21.066140420052314,-0.0,0.0,14.4,0.0,-0.0,-0.0,35.46614042005231,50.718894882109865,232,24.0,6198783612.6494875,6198783612.649488,26.718894882109865
2050,20.88880971795205,0.0,0.0,14.4,0.0,0.0,0.0,35.28880971795205,50.34650040769931,240,22.5,6683160097.847833,6683160097.847835,27.84650040769931
