year,production_BF-BOF_Mt,production_BF-BOF+CCUS_Mt,production_FINEX-BOF_Mt,production_Scrap-EAF_Mt,production_NG-DRI-EAF_Mt,production_H2-DRI-EAF_Mt,production_HyREX_Mt,total_production_Mt,scope1_emissions_MtCO2,carbon_price_USD_per_tCO2,free_allocation_MtCO2,ets_cost_USD,ets_cost_calculated_USD,ets_positive_MtCO2
2025,39.6,0.0,0.0,0.3999999999999986,0.0,0.0,0.0,40.0,83.34,15,75.0,125100000.00000009,125100000.00000006,8.340000000000003
2026,39.599999999999994,0.0,0.0,0.20000000000000284,0.0,0.0,0.0,39.8,83.25,20,70.5,254999999.99999982,255000000.0,12.75
2027,37.801,0.0,0.0,1.8,0.0,0.0,0.0,39.601,80.19210000000001,25,66.0,354802500.00000006,354802500.0000003,14.19210000000001
2028,37.602995,0.0,0.0,1.8,0.0,0.0,0.0,39.402995,79.7762895,30,61.49999999999999,548288685.0000001,548288685.0000004,18.27628950000001
2029,37.405980025000005,0.0,0.0,1.8,0.0,0.0,0.0,39.205980025,79.36255805250002,35,57.0,782689531.8375003,782689531.8375007,22.36255805250002
2030,37.209950124875,0.0,0.0,1.8,0.0,0.0,0.0,39.009950124875,78.95089526223751,40,52.5,1058035810.4894998,1058035810.4895003,26.45089526223751
2031,37.01490037425063,0.0,0.0,1.8,0.0,0.0,0.0,38.81490037425063,78.54129078592632,43,51.00000000000001,1184275503.7948313,1184275503.7948315,27.541290785926314
2032,36.82082587237937,0.0,0.0,1.8,0.0,0.0,0.0,38.62082587237937,78.13373433199669,46,49.5,1317151779.2718472,1317151779.2718477,28.633734331996692
2033,36.627721743017474,0.0,0.0,1.8,0.0,0.0,0.0,38.42772174301747,77.7282156603367,49,48.0,1456682567.356498,1456682567.3564985,29.7282156603367
2034,36.43558313430239,0.0,0.0,1.8,0.0,0.0,0.0,38.23558313430239,77.32472458203503,52,46.5,1602885678.2658207,1602885678.2658217,30.82472458203503
2035,36.244405218630874,0.0,0.0,1.8,0.0,0.0,0.0,38.04440521863087,76.92325095912484,55,45.0,1755778802.7518656,1755778802.7518663,31.923250959124843
2036,36.05418319253772,0.0,0.0,1.8,0.0,0.0,0.0,37.85418319253772,76.52378470432922,58,43.5,1915379512.851094,1915379512.8510945,33.023784704329216
2037,35.86491227657503,0.0,-0.0,1.8,0.0,0.0,0.0,37.66491227657503,76.12631578080757,61,42.00000000000001,2081705262.6292617,2081705262.6292617,34.126315780807566
2038,35.676587715192156,0.0,-0.0,1.8,0.0,0.0,0.0,37.47658771519215,75.73083420190353,64,40.5,2254773388.921826,2254773388.9218264,35.230834201903534
2039,35.489204776616205,0.0,-0.0,1.8,0.0,0.0,0.0,37.2892047766162,75.33733003089404,67,39.0,2434601112.0698996,2434601112.0699,36.33733003089404
2040,35.302758752733126,0.0,-0.0,1.8,0.0,0.0,0.0,37.10275875273312,74.94579338073957,70,37.5,2621205536.6517696,2621205536.6517696,37.44579338073957
2041,35.11724495896945,0.0,-0.0,1.8,0.0,0.0,0.0,36.91724495896945,74.55621441383585,73,36.0,2814603652.2100163,2814603652.2100167,38.556214413835846
2042,34.9326587341746,0.0,-0.0,1.8,0.0,0.0,0.0,36.7326587341746,74.16858334176666,76,34.5,3014812333.9742665,3014812333.9742665,39.66858334176666
2043,34.74899544050372,0.0,-0.0,1.8,0.0,0.0,0.0,36.54899544050372,73.78289042505781,79,33.0,3221848343.5795665,3221848343.5795674,40.782890425057815
2044,34.566250463301216,0.0,-0.0,1.8,-0.0,0.0,0.0,36.36625046330121,73.39912597293257,82,31.5,3435728329.7804694,3435728329.780471,41.899125972932566
2045,34.3844192109847,0.0,-0.0,1.8,-0.0,0.0,0.0,36.1844192109847,73.01728034306788,85,30.0,3656468829.160769,3656468829.1607704,43.01728034306788
2046,34.20349711492978,0.0,-0.0,1.8,-0.0,-0.0,0.0,36.00349711492978,72.63734394135254,88,28.5,3884086266.8390236,3884086266.8390236,44.13734394135254
2047,34.02347962935513,0.0,-0.0,1.8,-0.0,-0.0,-0.0,35.82347962935513,72.25930722164578,91,27.0,4118596957.1697655,4118596957.1697664,45.259307221645784
2048,33.84436223120835,0.0,-0.0,1.8,-0.0,-0.0,-0.0,35.64436223120835,71.88316068553755,94,25.500000000000004,4360017104.440528,4360017104.44053,46.38316068553755
2049,33.666140420052315,0.0,-0.0,1.8,-0.0,-0.0,-0.0,35.46614042005231,71.50889488210987,97,24.0,4608362803.564656,4608362803.564657,47.50889488210987
2050,33.48880971795205,0.0,-0.0,1.8,-0.0,-0.0,-0.0,35.28880971795205,71.13650040769932,100,22.5,4863650040.76993,4863650040.769932,48.636500407699316
