year,production_BF-BOF_Mt,production_BF-BOF+CCUS_Mt,production_FINEX-BOF_Mt,production_Scrap-EAF_Mt,production_NG-DRI-EAF_Mt,production_H2-DRI-EAF_Mt,production_HyREX_Mt,total_production_Mt,scope1_emissions_MtCO2,carbon_price_USD_per_tCO2,free_allocation_MtCO2,ets_cost_USD,ets_cost_calculated_USD,ets_positive_MtCO2
2025,38.2,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,40.0,81.03000000000002,50,75.0,301500000.0000001,301500000.0000007,6.030000000000015
2026,38.0,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,39.8,80.61,70,70.5,707699999.9999996,707700000.0,10.11
2027,37.801,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,39.601,80.19210000000001,90,66.0,1277289000.0000002,1277289000.000001,14.19210000000001
2028,30.402994999999997,0.0,0.0,9.0,0.0,0.0,0.0,39.402995,67.8962895,110,61.49999999999999,703591845.0000002,703591845.0000002,6.396289500000002
2029,30.205980025000002,0.0,0.0,9.0,0.0,0.0,0.0,39.205980025,67.48255805250001,130,57.0,1362732546.825001,1362732546.8250015,10.48255805250001
2030,30.009950124874997,0.0,0.0,9.0,0.0,0.0,0.0,39.009950124875,67.0708952622375,150,52.5,2185634289.335624,2185634289.3356247,14.5708952622375
2031,20.814900374250627,9.0,0.0,9.0,0.0,0.0,0.0,38.81490037425063,51.541290785926314,165,51.00000000000001,89312979.6778407,89312979.6778407,0.5412907859263072
2032,19.630683852987445,9.0,0.0,9.990142019391925,0.0,0.0,0.0,38.62082587237937,49.50000000000001,180,49.5,0.0,1.2789769243681803e-06,7.105427357601002e-15
2033,18.77425770644978,9.0,0.0,10.653464036567692,0.0,0.0,0.0,38.42772174301747,48.00000000000001,195,48.0,0.0,1.3855583347321954e-06,7.105427357601002e-15
2034,18.435583134302384,9.0,0.0,10.800000000000002,0.0,0.0,0.0,38.23558313430239,47.35472458203501,210,46.5,179492162.22735238,179492162.22735238,0.8547245820350113
2035,17.259605767960434,9.0,0.0,11.784799450670437,0.0,-0.0,0.0,38.04440521863087,45.328331865518614,225,45.0,73874669.74168612,73874669.74168806,0.3283318655186136
2036,16.733570897015376,9.0,0.0,12.12061229552234,0.0,-0.0,0.0,37.85418319253772,44.374774416717344,240,43.5,209945860.01216257,209945860.0121625,0.8747744167173437
2037,16.208587253056624,9.0,0.0,12.456325023518406,0.0,-0.0,0.0,37.66491227657503,43.4233794920022,255,42.00000000000001,362961770.4605565,362961770.46055865,1.4233794920021907
2038,15.876587715192152,9.0,0.0,12.600000000000001,0.0,0.0,0.0,37.47658771519215,42.79083420190352,270,40.5,618525234.5139489,618525234.5139508,2.2908342019035217
2039,13.712035060922855,13.5,0.0,10.077169715693348,0.0,-0.0,0.0,37.2892047766162,39.0,285,39.0,0.0,0.0,0.0
2040,12.85379306743642,13.5,0.0,10.748965685296703,0.0,-0.0,0.0,37.10275875273312,37.5,300,37.5,0.0,0.0,0.0
2041,11.99529682937197,13.5,0.0,11.421948129597478,0.0,-0.0,0.0,36.91724495896945,36.0,315,36.0,0.0,0.0,0.0
2042,11.136547617952383,13.5,0.0,12.096111116222216,0.0,-0.0,0.0,36.7326587341746,34.5,330,34.5,0.0,0.0,0.0
2043,10.4489954405037,13.5,0.0,12.600000000000017,0.0,-0.0,0.0,36.54899544050372,33.28289042505777,345,33.0,97597196.64493416,97597196.6449314,0.2828904250577722
2044,9.41829532819058,13.5,0.0,13.447955135110634,0.0,-0.0,0.0,36.36625046330121,31.500000000000004,360,31.5,0.0,1.2789769243681803e-06,3.552713678800501e-15
2045,8.558794760640538,13.5,0.0,14.125624450344162,0.0,-0.0,0.0,36.1844192109847,30.0,375,30.0,0.0,0.0,0.0
2046,8.103497114929777,13.5,0.0,14.400000000000002,0.0,-0.0,0.0,36.00349711492978,29.167343941352534,390,28.5,260264137.12743065,260264137.1274884,0.6673439413525344
2047,6.839051010175876,13.5,0.0,15.484428619179251,0.0,-0.0,0.0,35.82347962935513,27.0,405,27.0,0.0,0.0,0.0
2048,6.001663518703971,13.5,0.0,16.142698712504377,0.0,-0.0,0.0,35.64436223120835,25.537707809905307,420,25.500000000000004,15837280.160227273,15837280.160227252,0.03770780990530298
2049,5.766140420052313,13.5,0.0,16.2,0.0,-0.0,0.0,35.46614042005231,25.06889488210986,435,24.0,464969273.7177886,464969273.71778876,1.0688948821098592
2050,5.588809717952195,13.5,0.0,16.199999999999854,0.0,-0.0,0.0,35.28880971795205,24.696500407699546,450,22.5,988425183.4647948,988425183.4647955,2.1965004076995456
