year,production_BF-BOF_Mt,production_BF-BOF+CCUS_Mt,production_FINEX-BOF_Mt,production_Scrap-EAF_Mt,production_NG-DRI-EAF_Mt,production_H2-DRI-EAF_Mt,production_HyREX_Mt,total_production_Mt,scope1_emissions_MtCO2,carbon_price_USD_per_tCO2,free_allocation_MtCO2,ets_cost_USD,ets_cost_calculated_USD,ets_positive_MtCO2
2025,38.2,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,40.0,81.03000000000002,30,75.0,180900000.0000001,180900000.00000045,6.030000000000015
2026,38.0,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,39.8,80.61,40,70.5,404399999.99999994,404400000.0,10.11
2027,37.801,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,39.601,80.19210000000001,50,66.0,709605000.0000001,709605000.0000006,14.19210000000001
2028,37.602995,0.0,0.0,1.7999999999999992,0.0,0.0,0.0,39.402995,79.7762895,60,61.49999999999999,1096577370.0000002,1096577370.0000007,18.27628950000001
2029,37.405980025000005,0.0,0.0,1.7999999999999992,0.0,0.0,0.0,39.205980025,79.36255805250002,70,57.0,1565379063.6750007,1565379063.6750014,22.36255805250002
2030,37.209950124875,0.0,0.0,1.7999999999999992,0.0,0.0,0.0,39.009950124875,78.95089526223751,80,52.5,2116071620.9789996,2116071620.9790006,26.45089526223751
2031,37.01490037425063,0.0,0.0,1.7999999999999992,0.0,0.0,0.0,38.81490037425063,78.54129078592632,88,51.00000000000001,2423633589.1615157,2423633589.1615157,27.541290785926314
2032,36.82082587237937,0.0,0.0,1.7999999999999992,0.0,0.0,0.0,38.62082587237937,78.13373433199669,96,49.5,2748838495.8716817,2748838495.871682,28.633734331996692
2033,36.627721743017474,0.0,0.0,1.7999999999999992,0.0,0.0,0.0,38.42772174301747,77.7282156603367,104,48.0,3091734428.6750164,3091734428.6750174,29.7282156603367
2034,36.43558313430239,0.0,0.0,1.7999999999999992,0.0,0.0,0.0,38.23558313430239,77.32472458203503,112,46.5,3452369153.187922,3452369153.1879234,30.82472458203503
2035,27.244405218630874,0.0,0.0,10.799999999999999,0.0,0.0,0.0,38.04440521863087,62.073250959124834,120,45.0,2048790115.09498,2048790115.09498,17.073250959124834
2036,27.05418319253772,0.0,0.0,10.799999999999999,0.0,0.0,0.0,37.85418319253772,61.673784704329215,128,43.5,2326244442.1541386,2326244442.1541395,18.173784704329215
2037,26.86491227657503,0.0,0.0,10.8,0.0,0.0,0.0,37.66491227657503,61.276315780807565,136,42.00000000000001,2621578946.1898274,2621578946.189828,19.276315780807558
2038,26.676587715192152,0.0,0.0,10.8,0.0,0.0,0.0,37.47658771519215,60.88083420190352,144,40.5,2934840125.074107,2934840125.0741067,20.380834201903518
2039,26.489204776616205,0.0,0.0,10.799999999999999,0.0,0.0,0.0,37.2892047766162,60.487330030894036,152,39.0,3266074164.6958923,3266074164.695894,21.487330030894036
2040,26.302758752733123,0.0,0.0,10.8,0.0,0.0,0.0,37.10275875273312,60.09579338073956,160,37.5,3615326940.91833,3615326940.9183292,22.595793380739558
2041,26.117244958969447,0.0,0.0,10.8,0.0,0.0,0.0,36.91724495896945,59.70621441383584,168,36.0,3982644021.5244217,3982644021.5244207,23.706214413835838
2042,24.599254390403505,0.0,0.0,12.133404343771094,0.0,0.0,0.0,36.7326587341746,57.11846617454436,176,34.5,3980850046.7198067,3980850046.7198076,22.61846617454436
2043,24.290994960556738,0.0,0.0,12.258000479946977,0.0,0.0,0.0,36.54899544050372,56.52718963314529,184,33.0,4329002892.4987335,4329002892.4987335,23.52718963314529
2044,23.98375051206976,0.0,0.0,12.38249995123145,0.0,0.0,0.0,36.36625046330121,55.938001053400654,192,31.5,4692096202.252926,4692096202.252926,24.438001053400654
2045,23.67751597003572,0.0,0.0,12.506903240948978,0.0,0.0,0.0,36.1844192109847,55.35088999550206,200,30.0,5070177999.100411,5070177999.100411,25.350889995502058
2046,23.403497114929777,0.0,0.0,12.6,0.0,0.0,0.0,36.00349711492978,54.81734394135253,208,28.5,5474007539.801328,5474007539.801327,26.317343941352533
2047,23.223479629355126,0.0,0.0,12.6,0.0,0.0,0.0,35.82347962935513,54.43930722164577,216,27.0,5926890359.875485,5926890359.875486,27.43930722164577
2048,23.044362231208346,0.0,0.0,12.6,0.0,0.0,0.0,35.64436223120835,54.06316068553753,224,25.500000000000004,6398147993.560407,6398147993.560407,28.56316068553753
2049,22.86614042005231,0.0,0.0,12.6,0.0,0.0,0.0,35.46614042005231,53.68889488210986,232,24.0,6887823612.649487,6887823612.6494875,29.688894882109857
2050,22.688809717952047,0.0,0.0,12.6,0.0,0.0,0.0,35.28880971795205,53.3165004076993,240,22.5,7395960097.847834,7395960097.847833,30.8165004076993
