year,production_BF-BOF_Mt,production_BF-BOF+CCUS_Mt,production_FINEX-BOF_Mt,production_Scrap-EAF_Mt,production_NG-DRI-EAF_Mt,production_H2-DRI-EAF_Mt,production_HyREX_Mt,total_production_Mt,scope1_emissions_MtCO2,carbon_price_USD_per_tCO2,free_allocation_MtCO2,ets_cost_USD,ets_cost_calculated_USD,ets_positive_MtCO2
2025,38.2,0.0,0.0,1.8,0.0,0.0,0.0,40.0,81.03000000000002,50,75.0,301500000.0000001,301500000.0000007,6.030000000000015
2026,38.0,0.0,0.0,1.8,0.0,0.0,0.0,39.8,80.61,70,70.5,707699999.9999999,707700000.0,10.11
2027,37.801,0.0,0.0,1.8,0.0,0.0,0.0,39.601,80.19210000000001,90,66.0,1277289000.0000002,1277289000.000001,14.19210000000001
2028,30.402994999999997,0.0,0.0,9.0,0.0,0.0,0.0,39.402995,67.8962895,110,61.49999999999999,703591845.0000002,703591845.0000002,6.396289500000002
2029,30.205980025000002,0.0,0.0,9.0,0.0,0.0,0.0,39.205980025,67.48255805250001,130,57.0,1362732546.825001,1362732546.8250015,10.48255805250001
2030,30.009950124874997,0.0,0.0,9.0,0.0,0.0,0.0,39.009950124875,67.0708952622375,150,52.5,2185634289.3356247,2185634289.3356247,14.5708952622375
2031,28.532258308382275,0.0,0.0,10.282642065868353,0.0,0.0,0.0,38.81490037425063,64.54493137724353,165,51.00000000000001,2234913677.245182,2234913677.245181,13.544931377243522
2032,28.159860174735094,0.0,0.0,10.460965697644276,0.0,0.0,0.0,38.62082587237937,63.84314093088363,180,49.5,2581765367.559052,2581765367.559053,14.343140930883628
2033,27.788534558071945,0.0,0.0,10.639187184945527,0.0,0.0,0.0,38.42772174301747,63.14355680517657,195,48.0,2952993577.009432,2952993577.009432,15.143556805176573
2034,27.435583134302387,0.0,0.0,10.8,0.0,0.0,0.0,38.23558313430239,62.474724582035016,210,46.5,3354692162.2273526,3354692162.2273536,15.974724582035016
2035,27.244405218630874,0.0,0.0,10.799999999999999,0.0,0.0,0.0,38.04440521863087,62.073250959124834,225,45.0,3841481465.8030877,3841481465.8030877,17.073250959124834
2036,27.054183192537717,0.0,0.0,10.8,0.0,0.0,0.0,37.85418319253772,61.67378470432921,240,43.5,4361708329.039009,4361708329.03901,18.173784704329208
2037,26.86491227657503,0.0,0.0,10.8,0.0,0.0,0.0,37.66491227657503,61.276315780807565,255,42.00000000000001,4915460524.1059265,4915460524.105927,19.276315780807558
2038,17.67658771519215,0.0,0.0,10.8,0.0,9.000000000000004,0.0,37.47658771519215,43.330834201903514,270,40.5,764325234.5138893,764325234.5139487,2.8308342019035138
2039,15.689204776616064,0.0,0.0,10.800000000000315,0.0,10.799999999999821,0.0,37.2892047766162,39.427330030893856,285,39.0,121789058.80474778,121789058.80474894,0.4273300308938559
2040,15.502758752733119,0.0,0.0,10.8,0.0,10.800000000000004,0.0,37.10275875273312,39.035793380739555,300,37.5,460738014.2219734,460738014.22186667,1.5357933807395554
2041,13.96021192623303,0.0,0.0,10.80000000000058,0.0,12.157033032735837,0.0,36.91724495896945,36.00000000000001,315,36.0,0.0,2.2382096176443156e-06,7.105427357601002e-15
2042,13.332658734175189,0.0,0.0,10.79999999999915,0.0,12.600000000000259,0.0,36.7326587341746,34.74858334176756,330,34.5,82032502.78329383,82032502.78329363,0.24858334176755648
2043,12.354152855293579,0.0,0.0,11.59484258521014,0.0,12.6,0.0,36.54899544050372,33.05140015946108,345,33.0,17733055.014070567,17733055.014073215,0.051400159461081785
2044,12.0469084068066,0.0,0.0,11.719342056494614,0.0,12.6,0.0,36.36625046330121,32.46221157971644,360,31.5,346396168.69798255,346396168.6979178,0.9622115797164383
2045,11.740673864772562,0.0,0.0,11.843745346212136,0.0,12.6,0.0,36.1844192109847,31.875100521817846,375,30.0,703162695.6816921,703162695.6816921,1.8751005218178456
2046,11.43544417965929,0.0,0.0,11.968052935270489,0.0,12.6,0.0,36.00349711492978,31.29005659815623,390,28.5,1088122073.28093,1088122073.2809298,2.79005659815623
2047,11.13121432718199,0.0,0.0,12.092265302173136,0.0,12.6,0.0,35.82347962935513,30.70706947306009,405,27.0,1501363136.5893376,1501363136.589337,3.7070694730600913
2048,10.82797930817767,0.0,0.0,12.216382923030677,0.0,12.6,0.0,35.64436223120835,30.126128862536913,420,25.500000000000004,1942974122.2655034,1942974122.2655017,4.626128862536909
2049,10.525734148478877,0.0,0.0,12.340406271573434,0.0,12.6,0.0,35.46614042005231,29.547224534013687,435,24.0,2413042672.2959547,2413042672.2959538,5.5472245340136865
2050,10.224473898789098,0.0,0.0,12.464335819162951,0.0,12.6,0.0,35.28880971795205,28.970346306080433,450,22.5,2911655837.736196,2911655837.736195,6.470346306080433
