year,production_BF-BOF_Mt,production_BF-BOF+CCUS_Mt,production_FINEX-BOF_Mt,production_Scrap-EAF_Mt,production_NG-DRI-EAF_Mt,production_H2-DRI-EAF_Mt,production_HyREX_Mt,total_production_Mt,scope1_emissions_MtCO2,carbon_price_USD_per_tCO2,free_allocation_MtCO2,ets_cost_USD,ets_cost_calculated_USD,ets_positive_MtCO2
2025,39.6,-0.0,0.0,0.3999999999999986,-0.0,0.0,0.0,40.0,83.34,0,75.0,0.0,0.0,8.340000000000003
2026,39.599999999999994,-0.0,-0.0,0.20000000000000284,-0.0,0.0,0.0,39.8,83.25,18,70.5,229499999.99999982,229500000.0,12.75
2027,37.801,-0.0,-0.0,1.8,-0.0,0.0,0.0,39.601,80.19210000000001,35,66.0,496723500.00000024,496723500.0000004,14.19210000000001
2028,37.602995,-0.0,-0.0,1.8,-0.0,0.0,0.0,39.402995,79.7762895,53,61.49999999999999,968643343.5000004,968643343.5000006,18.27628950000001
2029,37.405980025000005,-0.0,-0.0,1.8,-0.0,0.0,0.0,39.205980025,79.36255805250002,62,57.0,1386478599.255001,1386478599.2550013,22.36255805250002
2030,37.209950124875,-0.0,-0.0,1.7999999999999998,-0.0,0.0,0.0,39.009950124875,78.95089526223751,71,52.5,1878013563.6188626,1878013563.618863,26.45089526223751
2031,37.01490037425063,-0.0,-0.0,1.7999999999999998,-0.0,0.0,0.0,38.81490037425063,78.54129078592632,72,51.00000000000001,1982972936.5866947,1982972936.5866947,27.541290785926314
2032,36.82082587237937,-0.0,-0.0,1.7999999999999998,-0.0,0.0,0.0,38.62082587237937,78.13373433199669,73,49.5,2090262606.2357578,2090262606.2357583,28.633734331996692
2033,36.627721743017474,-0.0,-0.0,1.7999999999999998,-0.0,0.0,0.0,38.42772174301747,77.7282156603367,75,48.0,2229616174.525253,2229616174.525253,29.7282156603367
2034,36.43558313430239,-0.0,-0.0,1.7999999999999998,-0.0,0.0,0.0,38.23558313430239,77.32472458203503,76,46.5,2342679068.2346616,2342679068.2346625,30.82472458203503
2035,36.244405218630874,-0.0,-0.0,1.7999999999999998,-0.0,0.0,0.0,38.04440521863087,76.92325095912484,77,45.0,2458090323.8526125,2458090323.852613,31.923250959124843
2036,36.05418319253772,-0.0,-0.0,1.7999999999999998,-0.0,0.0,0.0,37.85418319253772,76.52378470432922,81,43.5,2674926561.0506663,2674926561.0506663,33.023784704329216
2037,35.86491227657503,-0.0,-0.0,1.8,-0.0,0.0,0.0,37.66491227657503,76.12631578080757,85,42.00000000000001,2900736841.3686433,2900736841.3686433,34.126315780807566
2038,35.676587715192156,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,37.47658771519215,75.73083420190353,90,40.5,3170775078.1713176,3170775078.1713185,35.230834201903534
2039,35.489204776616205,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,37.2892047766162,75.33733003089404,94,39.0,3415709022.9040394,3415709022.9040394,36.33733003089404
2040,35.302758752733126,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,37.10275875273312,74.94579338073957,98,37.5,3669687751.312478,3669687751.312478,37.44579338073957
2041,35.11724495896945,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,36.91724495896945,74.55621441383585,104,36.0,4009846299.038928,4009846299.038928,38.556214413835846
2042,34.9326587341746,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,36.7326587341746,74.16858334176666,109,34.5,4323875584.252566,4323875584.252566,39.66858334176666
2043,34.74899544050372,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,36.54899544050372,73.78289042505781,115,33.0,4690032398.881649,4690032398.881649,40.782890425057815
2044,34.566250463301216,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,36.36625046330121,73.39912597293257,120,31.5,5027895116.751906,5027895116.751908,41.899125972932566
2045,34.3844192109847,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,36.1844192109847,73.01728034306788,126,30.0,5420177323.226553,5420177323.226553,43.01728034306788
2046,34.20349711492978,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,36.00349711492978,72.63734394135254,134,28.5,5914404088.14124,5914404088.14124,44.13734394135254
2047,34.02347962935513,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,35.82347962935513,72.25930722164578,142,27.0,6426821625.4737,6426821625.4737015,45.259307221645784
2048,33.84436223120835,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,35.64436223120835,71.88316068553755,150,25.500000000000004,6957474102.830629,6957474102.830632,46.38316068553755
2049,33.666140420052315,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,35.46614042005231,71.50889488210987,158,24.0,7506405391.373358,7506405391.37336,47.50889488210987
2050,33.48880971795205,-0.0,-0.0,1.8,-0.0,-0.0,-0.0,35.28880971795205,71.13650040769932,166,22.5,8073659067.678084,8073659067.678086,48.636500407699316
