year,production_BF-BOF_Mt,production_BF-BOF+CCUS_Mt,production_FINEX-BOF_Mt,production_Scrap-EAF_Mt,production_NG-DRI-EAF_Mt,production_H2-DRI-EAF_Mt,production_HyREX_Mt,total_production_Mt,scope1_emissions_MtCO2,carbon_price_USD_per_tCO2,free_allocation_MtCO2,ets_cost_USD,ets_cost_calculated_USD,ets_positive_MtCO2
2025,39.6,0.0,0.0,0.3999999999999986,0.0,0.0,0.0,40.0,83.34,0,75.0,0.0,0.0,8.340000000000003
2026,38.0,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,39.8,80.61,96,70.5,970559999.9999995,970560000.0,10.11
2027,30.601,0.0,0.0,9.0,0.0,0.0,0.0,39.601,68.3121,191,66.0,441611100.0000002,441611100.0000002,2.312100000000001
2028,26.608274090909084,4.5,0.0,8.29472090909091,0.0,0.0,0.0,39.402995,61.49999999999999,287,61.49999999999999,0.0,0.0,0.0
2029,25.705980025000002,4.5,0.0,9.000000000000002,0.0,0.0,0.0,39.205980025,59.92255805250001,335,57.0,979056947.5875016,979056947.5875027,2.9225580525000083
2030,21.342740875034092,9.0,0.0,8.667209249840905,0.0,0.0,0.0,39.009950124875,52.50000000000001,383,52.5,0.0,2.7213786779611837e-06,7.105427357601002e-15
2031,20.814900374250612,9.0,0.0,9.000000000000012,0.0,0.0,0.0,38.81490037425063,51.54129078592629,383,51.00000000000001,207314371.00976652,207314371.0097675,0.5412907859262859
2032,19.630683852987445,9.0,0.0,9.990142019391927,0.0,0.0,0.0,38.62082587237937,49.50000000000001,383,49.5,0.0,2.7213786779611837e-06,7.105427357601002e-15
2033,18.788534558071945,9.0,0.0,10.639187184945529,0.0,0.0,0.0,38.42772174301747,48.023556805176575,382,48.0,8998699.57744906,8998699.577451773,0.023556805176575324
2034,18.435583134302412,8.999999999999913,0.0,10.800000000000065,0.0,0.0,0.0,38.23558313430239,47.35472458203506,382,46.5,326504790.3373922,326504790.33739334,0.8547245820350611
2035,18.24440521863096,8.999999999999913,0.0,10.8,0.0,0.0,0.0,38.04440521863087,46.95325095912498,382,45.0,746141866.3857099,746141866.3857421,1.9532509591249791
2036,16.285222765671545,13.499999999999913,0.0,8.06896042686626,0.0,0.0,0.0,37.85418319253772,43.50000000000002,397,43.5,1.1282232238854022e-05,8.462563982902793e-06,2.1316282072803006e-14
2037,15.427751197297754,13.499999999999913,0.0,8.737161079277364,0.0,0.0,0.0,37.66491227657503,42.000000000000064,411,42.00000000000001,2.383030695018567e-05,2.3362645151792094e-05,5.684341886080802e-14
2038,14.570021532220323,13.499999999999913,0.0,9.406566182971916,0.0,0.0,0.0,37.47658771519215,40.50000000000001,426,40.5,0.0,3.026912054338027e-06,7.105427357601002e-15
2039,13.712035060922858,13.5,0.0,10.077169715693344,0.0,0.0,0.0,37.2892047766162,39.00000000000001,440,39.0,0.0,3.126388037344441e-06,7.105427357601002e-15
2040,12.85379306743642,13.5,0.0,10.748965685296703,0.0,0.0,0.0,37.10275875273312,37.5,455,37.5,0.0,0.0,0.0
2041,11.995296829371968,13.5,0.0,11.42194812959748,0.0,0.0,0.0,36.91724495896945,36.0,471,36.0,0.0,0.0,0.0
2042,11.136547617952425,13.500000000002377,0.0,12.096111116219797,0.0,0.0,0.0,36.7326587341746,34.5,487,34.5,0.0,0.0,0.0
2043,10.79099496055436,13.500000000002379,0.0,12.258000479946977,0.0,0.0,0.0,36.54899544050372,33.8471896331413,504,33.0,426983575.1032128,426983575.10321414,0.8471896331412978
2044,9.50011351000876,18.0,0.0,8.8661369532925,0.0,0.0,0.0,36.366250463301256,31.50000000000002,520,31.5,0.0,1.1084466677857563e-05,2.1316282072803006e-14
2045,8.64061294245872,18.0,0.0,9.543806268526005,0.0,0.0,0.0,36.18441921098473,30.000000000000014,536,30.0,0.0,7.617018127348274e-06,1.4210854715202004e-14
2046,7.780864423200972,18.0,0.0,10.222632691728785,0.0,0.0,0.0,36.00349711492976,28.499999999999996,556,28.5,0.0,0.0,0.0
2047,6.92086919199435,18.0,0.0,10.902610437360778,0.0,0.0,0.0,35.82347962935513,27.000000000000483,577,27.0,0.00027795660744980204,0.0002787885478028329,4.831690603168681e-13
2048,6.060628482397726,18.0,0.0,11.583733748810623,0.0,0.0,0.0,35.64436223120835,25.500000000000004,597,25.500000000000004,0.0,0.0,0.0
2049,5.200143521803916,18.0,0.0,12.265996898248396,0.0,0.0,0.0,35.46614042005231,24.0,618,24.0,0.0,0.0,0.0
2050,4.688809717952047,18.0,0.0,12.6,0.0,0.0,0.0,35.28880971795205,23.0765004076993,638,22.5,367807260.11215055,367807260.112153,0.5765004076992994
