year,production_BF-BOF_Mt,production_BF-BOF+CCUS_Mt,production_FINEX-BOF_Mt,production_Scrap-EAF_Mt,production_NG-DRI-EAF_Mt,production_H2-DRI-EAF_Mt,production_HyREX_Mt,total_production_Mt,scope1_emissions_MtCO2,carbon_price_USD_per_tCO2,free_allocation_MtCO2,ets_cost_USD,ets_cost_calculated_USD,ets_positive_MtCO2
2025,39.6,0.0,0.0,0.3999999999999986,0.0,0.0,0.0,40.0,83.34,0,75.0,0.0,0.0,8.340000000000003
2026,38.0,0.0,0.0,1.7999999999999996,0.0,0.0,0.0,39.8,80.61,96,70.5,970560000.0,970560000.0,10.11
2027,30.601,0.0,0.0,9.0,0.0,0.0,0.0,39.601,68.3121,191,66.0,441611100.0000002,441611100.0000002,2.312100000000001
2028,30.402994999999997,0.0,0.0,9.0,0.0,0.0,0.0,39.402995,67.8962895,287,61.49999999999999,1835735086.5000005,1835735086.5000005,6.396289500000002
2029,29.438188448684215,0.0,0.0,9.767791576315787,0.0,0.0,0.0,39.205980025,66.21570195157896,335,57.0,3087260153.7789507,3087260153.7789526,9.215701951578964
2030,22.423222875006367,0.0,0.0,9.744076250021186,0.0,6.842650999847444,0.0,39.009950124875,52.50000000000003,383,52.5,0.0,1.0885514711844735e-05,2.842170943040401e-14
2031,21.711205676803303,0.0,0.0,9.9036946974473,0.0,7.200000000000023,0.0,38.81490037425063,51.13019453513823,383,51.00000000000001,49864506.957939245,49864506.9579394,0.130194535138223
2032,21.33880754315615,0.0,0.0,10.082018329223224,0.0,7.199999999999996,0.0,38.62082587237937,50.42840408877837,383,49.5,355578766.0021135,355578766.0021164,0.9284040887783718
2033,20.967481926492997,0.0,0.0,10.260239816524477,0.0,7.2,0.0,38.42772174301747,49.72881996307131,382,48.0,660409225.8932226,660409225.8932402,1.7288199630713095
2034,19.310055094865973,0.0,0.0,10.366850316219933,0.0,8.558677723216482,0.0,38.23558313430239,46.499999999999986,382,46.5,0.0,0.0,0.0
2035,18.531640412612397,0.0,0.0,10.522134708707856,0.0,8.990630097310618,0.0,38.04440521863087,45.000000000001165,382,45.0,0.00025269169420222124,0.00044514081309898756,1.1652900866465643e-12
2036,18.154623528594055,0.0,0.0,10.69955966394455,0.0,8.999999999999115,0.0,37.85418319253772,44.28951125882243,397,43.5,313435969.752502,313435969.75250447,0.7895112588224293
2037,17.86491227657411,0.0,0.0,10.80000000000206,0.0,8.999999999998863,0.0,37.66491227657503,43.72631578080639,411,42.00000000000001,709515785.9114205,709515785.9114226,1.726315780806381
2038,16.224877868062038,0.0,0.0,10.80000000000068,0.0,10.451709847129436,0.0,37.47658771519215,40.5,426,40.5,0.0,0.0,0.0
2039,15.689204776615316,0.0,0.0,10.800000000000884,0.0,10.8,0.0,37.2892047766162,39.42733003089256,440,39.0,188025213.59272924,188025213.5927276,0.4273300308925627
2040,15.502758752732554,0.0,0.0,10.80000000000057,0.0,10.8,0.0,37.10275875273312,39.035793380738625,455,37.5,698785988.2360731,698785988.2360742,1.5357933807386246
2041,13.960211926233017,0.0,0.0,10.800000000000665,0.0,12.157033032735766,0.0,36.91724495896945,36.0,471,36.0,0.0,0.0,0.0
2042,13.332658734173645,0.0,0.0,10.800000000001244,0.0,12.59999999999971,0.0,36.7326587341746,34.74858334176517,487,34.5,121060087.43963939,121060087.43963733,0.24858334176516905
2043,12.35415285529499,0.0,0.0,11.594842585209017,0.0,12.599999999999708,0.0,36.54899544050372,33.05140015946349,504,33.0,25905680.369600564,25905680.369599227,0.051400159463490525
2044,12.046908406806656,0.0,0.0,11.719342056494847,0.0,12.59999999999971,0.0,36.36625046330121,32.462211579716616,520,31.5,500350021.4526399,500350021.4526403,0.962211579716616
2045,10.931522033367846,0.0,0.0,10.852897177616635,0.0,14.400000000000217,0.0,36.1844192109847,29.999999999999996,536,30.0,0.0,0.0,0.0
2046,10.071773514110097,0.0,0.0,11.531723600819463,0.0,14.400000000000217,0.0,36.00349711492978,28.499999999999993,556,28.5,0.0,0.0,0.0
2047,9.42595116928686,0.0,0.0,11.99752846006805,0.0,14.400000000000217,0.0,35.82347962935513,27.35338526253306,577,27.0,203903296.48157537,203903296.48157537,0.3533852625330596
2048,9.122716150282047,0.0,0.0,12.121646080926082,0.0,14.400000000000217,0.0,35.64436223120835,26.77244465200907,597,25.500000000000004,759649457.2494144,759649457.2494133,1.2724446520090673
2049,8.820470990583928,0.0,0.0,12.245669429468165,0.0,14.400000000000217,0.0,35.46614042005231,26.193540323486957,618,24.0,1355607919.9149392,1355607919.9149392,2.193540323486957
2050,8.519210740892857,0.0,0.0,12.369598977058974,0.0,14.400000000000217,0.0,35.28880971795205,25.616662095551572,638,22.5,1988430416.9619043,1988430416.9619029,3.116662095551572
